sentence,label
yes na yes sa wipes 2 times na ko nag order neto ok naman mura lng pero kapakipakinabang lalo pag lumalabas ka with your little one samahan mo pa ng alcohol syempre kaya ok sakin tong wipes.,2
box should have been taped pagka open ko nung parcel almost crushed na yung box plastic pa yung laman buti di nabitak,1
maganda ang quality mataba lang talaga paa ko kaya hirap isuot true to size,2
ok nmn lahat ng items sulit pagkakabili repeat order na to ilanv beses na ko nabili kay seller pakicheck po nxt time completeness before delivery tnx,2
"Wala akong in-expect sa libro, pero pagkatapos basahin ay naramdaman kong misogynistic at self-indulgent ang author, kaya hindi ko talaga mairerekomenda ito sa inyo.",0
"So ""anak ni Mar"" pala itong si DJP, magandang koneksyon. Magiging catchy ang campaign jingle ni Mar Roxas.",2
May nakapansin na nagdidikit sa partial results sina DU30 at Roxas.,1
Umatras ang sasakyan kaya muntik nang bumangga pero nakapag-preno agad ang driver.,1
kulang ang items na binili ko.kulang ng mousepad at wlang connector ang isang bluetooth mouse.contacted seller but never get back to me.,0
okay naman po yung item nareceive ko naman po ng maaga and tama naman yung items nasunod lahat,2
Para kang si Binay na sinasabing hindi kayang harapin ang kasalanan.,1
all goods i received already i used already nice quality malambot sa paa hindi sya nakakailang suotin i ll order again color white naman thanks,2
Si Patrizah ay anak ng mag-asawang artista na sina Albert Martinez at Yayo Aguila.,1
good legit po salamat seller at sa shopee,2
maganda naman sya kaso mali yung isang color na binigay sana na next time paki tignan yung color,1
Nakakaloka hindi ko na alam kapag nanalo talaga si Binay o si Mar. Wala nang pag-asa Pinas. Lalo na si Binay gago magnanakaw.,0
Tila kailangan i-update ang software para gumana ng maayos.,1
"""Black propaganda"" ... Nako Binay kasalanan mo to!",0
"Salamat sa pambihirang suporta mo, hinayaan mo akong harapin ang problema ko mag-isa para tumibay ako.",0
Yung papa ko inis na inis pag nadadagdagan si Mar Roxas.,0
creamy i am looking for a tint. this is no tint! natatanggal at dumidikit pag dinadampi. ano ba yan,0
the product arrived in good condition maganda po and mura wala naman stains or so whatever kaya goods na goods thank you,2
i rcvd the packaged today in very good conditon i haven t yet try these profucts so i can give a good feedback i like all the products i rcvd thanks seller shopee and shopee rider,2
Yung mga damit ba sa display ay pwedeng isukat bago bilhin?,1
Mismong si NBI director Nestor Mantaring ang maghahayag sa resulta ng imbestigasyon sa isasagawang press briefing sa Huwebes.,1
not good but not bad nmn kasi nga sa price nia mura my damage sya at my itim sa gilid,1
"Sakto lang itong nabili kong high chair para sa baby, madaling linisin kaso medyo malaki at hindi pwedeng itiklop para itago.",1
awit tubig na my alcohol lang,0
Busy pa sya madam ipilit sa taong-bayan si Mar Roxas & Leni Robredo.,0
"Kandidato naman sa panguluhan si Estrada, at napaulat na kinakausap ni Sen Aquino upang hikayating umatras at makuha ang suporta.",1
anlayo sa pic sayang ang pera. madaling mapunit mdaling mabakbak. mgnda pa quality ng cartolina. definitely will not biy this product again,0
wala man ako nung video at pics. ng product. pero supper worth it po ngg product di ka magsisisi..super legit sya maganda tila sa murang halaga lamang..thank u seller,2
too watery matubig siya so parang tubig talaga ang inispray ko after magpagod sa make up.,0
Nanawagan ang Pangulo ng alyansa sa pagitan nina Poe at Roxas.,1
"Huling dumalaw sa Pilipinas si Gng Clinton, kasalukuyang Secretary of State sa ilalim ng Obama administration, noong pangulo pa ng US si (Bill) Clinton.",1
it s a quality and maganda sya at nag try agad ako thanks,2
nakakaloko dumating ng may punit sa gitna tapos ang dumi pa tapos yung laman ayaw ko nalang mag talk yung belt lang yung maayos eh tas parang gamit pa yung isa tapos may isa pang tabingi ung pagkakatahi ng strap btw thank you still seller,0
so happy and satisfied xa lahat ng mga inorder q salamat po excited nakong gamitin para xa baby ko,2
"the security is not good at all we observed na hindi nila gaanong chinecheck yung mga naglalabas pasok, like they are not asking kung may reservation ba sila or something. nauna yung mga colleagues ko sa loob and sumunod kami. upon entering no one ask us or assist us",2
"Kahit paulit-ulit kong hugasan ang lalagyan, hindi naiiwan ang amoy ng nakaraang ulam.",2
complete items at maayos yong items thank you shoppee and thank you also seller well order again godbless,2
Iginiit din ni Ramirez na dapat magkaroon ng mahusay na negosyador ang Pilipinas sa Somalia para sa mga mabibihag na tripulanteng Pinoy.,0
Ang pahayag ni Dureza ay nakapaloob sa artikulong nakapaskil sa website ng Office of the Press Secretary na may petsang Oct 20.,1
"""Unless you get an exciting offer, stick with the job you have right now,"" ayon sa kalihim.",1
uwah nakakapayat sobra super cute niya huhu sana magtagal pero so far good quality naman sya esp for its price kuddos to the seller,2
"Binigay niyo sa akin ang huling sapatos na display na punong-puno ng dumi, ang galing niyong magbenta ng pre-loved items as brand new.",0
"Dumating on time ang magandang CD na ito, ito na yung hinahanap kong music kaya maganda siyang itago, yan lang muna sa ngayon.",2
terrible i have to charge the fan for a long time pero saglit ko lang nagagamit also wala pang 1week sira na agad wrong color and wrong brand this looks nothing like in the picture mukang laruan ng bata terrible quality din,0
pumunta kami ng boyfriend ko last saturday at 3pm pero nakakain na kami ng past 5pm we are waiting for almost 2 hours ang dami pang vacant area pero di nila pinapasok hays di maganda ang service nila dito hays very disappointed,0
Pilit kong inuunawa ang delay pero hindi na talaga makatarungan ang limang oras na paghihintay.,0
"you can say that, but i've never heard of binay being concerned about the welfare of others before. it's atypical of him.",0
"Nagbigay kayo ng libreng wifi na hindi naman maka-load ng kahit anong website, napakabilis at reliable ng connection niyo para sa mga naghihintay.",0
sayang lang ang pera sira p ung charger haha kainis gsto q sna ireturm kso ntapon qna ung box kainis tlga sira n cxa agad isang araw plng tps kupas p ung print ng mukha ng pig d recommmend,0
"sobrang haba ng pila. they will give you reservation number, at kapag wala ka don once natawag, they will cancel your reservation. without giving courtesy. pwede naman kung may natapos na isunod nalang sana kami. medyo nakaka dismaya kayo",0
white yung pinaka hindi magandang kulay dahil kitang kita yung detachable foam mukang maganda yung bra sa photo pero sa personal di mo siya kayang suotin ng yun lang para pang gym mukang joke yung bralette,0
Pagkalipas ng ilang buwan ay naubos ang baterya ng orasan.,1
napakabagal ng service kailangan mo pukpokin many times na follow up bago gawin. ang mga crew ndi approachable need reiterate sa ginagawa nila. such dissapointing experience eating at this branch,0
malakas naman ang usok pero walang amoy ng essential oil same essential oil gamit sa kwarto but different humidifier,1
I'm thrilled roxas and binay have more votes than miriam!,2
"Isa pa, malapit na lang ang madason nga eleksyon kag tawo man sa gihapon ang magadesider kon sin-o ang nagakadapat sa pwesto. - Ratsada",2
"Para sagutin ang tanong ni Jenny, Damage ang kumanta ng I'll be lovin you forever."" Sana nakatulong ito sa paghahanap mo ng kantang iyan.""",0
Laging riot ang mga storya ni Pat McManus tungkol sa kanyang pagiging sampung taong gulang sa wilds ng Idaho kaya napaka-great read talaga nitong libro.,2
nagustuhan ng mother ko sana lang tumagal yung phone thank you,2
ang ganda at malaki po syasalamat po seller,2
Maganda sana ang presyo pero hindi magkasya ang adapter sa hose ng aking standard kenmore 18 inch portable dishwasher dahil masyado itong malaki.,0
"Binay accused someone of theft, and Roxas spoke about job creation.",1
Namatay ang pasyente matapos ang operasyon.,1
maganda xa kaya lang d kaparehas nung isa kong order na indoor outdoor yung pinadala pinagdugtong ko magkaiba ng kulay.,2
Gumagana yung bluetooth mouse nang maayos kaso medyo maliit siya sa kamay ko kaya madaling mangawit kapag buong araw ginagamit sa trabaho.,1
"mas nakakatakot ata na second place si roxas kesa sa first place si duterte, if the rumors were true mamaya magkakahimala na...",0
"Mula sa labas hanggang sa loob, walang bahid ng kapabayaan ang disenyo.",2
ok po sana. kaso hindi po stretchable. kaya hindi kasya yung biggest size nila.,2
Umaabot pa sa 70 OFWs ang kinakalingang OFWs sa Filipino Workers Resource Center (FWRC) kung saan ang pinakamatanda ay 63-anyos na domestic helper.,2
"""Definitely right now, were lucky that we have no incident yet of any known contamination,"" pahayag ng opisyal.",2
"Habang nagta-type ang kalihim, nasira ang keyboard ng computer.",1
May isyu tungkol sa bala sa bagahe at si Mar Roxas ay binabatikos.,1
verygood anlaki nya personal kala ko maliit lang sya sa lahat ng na orderan ko ito talaga ung the best ang ganda ng item nya,2
Binay and Roxas are the nightmare of this country. Shut up casiple!,0
ang panget ng box tupi tupi. hindi man lang naka bubble wrap kaya pag open sira hindi umiikot.,0
Gipatin-aw sa Commission on Higher Education nga ang mga kolehiyo lang og mga unibersidad ang nalakip sa kamanduan sa CHED.,1
yung football n blue ang pinili ko pero ang dumating yung frog n green not satisfied,0
Ang listahan ng mga pangalan ay dumating mula sa head office.,1
": Paalala: Magaling sumagot si Binay sa tanong tungkol sa corruption, wala talaga siyang tinatago. Gets nyo?",2
akala ko mystery pouch . pareho pa binigay . haha,0
order ko color yellow dumating red nakakadismga lang,0
Si Binay ay nagbibigay ng kritisismo upang mapabuti ang gobyerno.,2
"""No tax"" daw pag naging presidente si Binay. Palaka ka ng taon! Don't me.",0
May nagsasabi na diktador ang dating ni Miriam.,1
Nakinig sana ako sa kutob ko nung una pa lang.,0
fast delivery not tried yet sana maganda sira lang yung takip but ok naman yung bottle thanks,1
Kanina pa ako naghihintay pero wala man lang dumating na kapalit mo.,0
"yung naunang apat, wala na ako aasahan. Lalo kina Binay at Roxas.",0
"Walang problema kay Mar Roxas, mabuti siyang tao at may ebidensya ng magandang serbisyo.",2
"Sakto binayad sa tour, di lang nasulit yung isang stop.",0
10 10 thank you po gustong gusto ng ank ko,2
"Talagang naging addicted na kaming manood nito tuwing may libreng oras, kaya sobrang excited na ako para sa next season nito sa Prime!",2
"Mahirap intindihin yung rules ng card game sa umpisa, pero naging enjoy naman kami nung nakuha na namin yung tamang paraan ng paglalaro.",1
nice ganda ng shoes tama lng sa baby ko mukhang matibay thank you seller at ky rider bilis ng delivery,2
Wala rin umano sa isipan ni Roxas ngayon ang pinakamataas na posisyon ng bansa matapos siyang magbigay-daan kay Aquino.,1
"matibay, maganda ang pagkakagawa, seamless talaga walang run bumili na rin kayo guys sobrang sulit! as in. will order more for gifts",2
i ordered h m i received bench i m still grateful kasi mura naman,1
they say u get what u paid for maliit xa sa sizes nya ok na din cguro pag tag ulan at wala kang choice ibang suotin thanks anyway,1
"""""These hospitals follow the US procedures and offer competitive salaries and excellent benefits like annual paid vacation leaves, free food and accommodation,"""" ayon kay Soriano.",2
kulang yung items na dumating sakin but so far maganda yung products,1
Malayo sa mapanghusgang mga tingin ang kapaligiran dito kaya hindi ako nahihiyang maging sarili ko.,2
lintek after ilang linggo lang biglang hindi na gumana yung row ng letters zxcvbnm at few numbers. this is fvcking awful.,0
Ibang doctor sana ang nag-opera sa kanya.,0
Napansin ko lang na wala nang lasa ang sabaw na isinerve nila kumpara noong nakaraang buwan.,0
"Salamat sa pagiging supportive best friend, ikaw ang unang nang-judge sa akin nung nagkamali ako.",0
Sige Poe? May nagsasabi na ayaw nila kay Binay.,1
Pinayuhan din ang publiko na panatilihin ang malusog na pamumuhay upang mapalakas ang resistensya upang labanan ang mga virus na papasok sa katawan ng tao.,2
Halos mapangiti ako maghapon nang malamang walang nakatagong interes na babayaran sa aking inutang.,2
"Umiiral naman signal no. 1 sa Ilocos Sur, Mt. Province, Ifugao, Benguet, La Union, Nueva Vizcaya, Quirino, Aurora, northern Quezon, at Polilio islands.",1
maganda naman siya kaso di lang nasunod yung color. ibang color dumating hindi black. blue orange. pero ok lang nagagamit parin naman po. thank you,2
Si Roxas naman napaka-kalma kay Duterte? pati si Cayetano kinausap ng maayos!? bruh halatang may tiwala sa sarili ah?,2
maganda ok nmn kaso maliit skn.. pero mgand sayng lng ndi kasya skn.. khit my butas un braok sna kng nagkasya skn.. mliit lng size nia.. ala kc tag ng nkuha q kea not sure kng tama un pinada skn..tnx sa shop nto nasayang ulipera ko.sana irefound kc mastock lng,0
Ilang gitino nga dili pa angayang mabalaka ang publiko tungod kay wa kini makatukod sa palibot. - Balitang Bisdak,2
"Highly recommended ito lalo na sa senior cat na may skin issues, madali lang i-pump sa pagkain nila kaya love na love talaga nila ito.",2
"Malamang pag si Mar Roxas ang nanalo, maraming papuri sa social media...oh yes..",2
Fak. Nakadikit na si Roxas kay Duterte sa survey. Oh well. Inuumpisahan na nila ang pandaraya.,0
ang daming butas na maliliit. sana bago niyo i-deliver i-check niyo muna,0
"Para sa isang simpleng kainan, malaking gulat ko na walang palya ang kanilang menu.",2
Fishers say Mar Roxas is not in contention for the presidency since day 1.,1
"Dahil sa malaking natipid, sinabi ni Lacson na posibleng madagdagan ang nakuhang benepisyo ng mga kawani ng Senado noong 2008.",2
ganda sana ng hotel and place don't eat here the food is not good at premium price,2
"Nakakatawa itong paboritong movie ng bf ko, at kahit natanggal siya sa case dahil sa packaging niya ay mabuti na lang at walang naging scratch.",2
"i ordered beige and black, same sizes pero ang ibinigay ni seller beige 40-41, black 42-43. nakakadisappoint kaya binenta ko nalang sa pinsan ko sa mas mababang presyo. sa picture ay nagamit na ng pinsan ko",0
my sira naman ang in order ko sa susunod bago niyo balutin ang order pakitignan mnua item kong ok sya bago niyo balutin kc sayang naman ang pera ng mgoorder,0
"Tiniyak naman ni House Majority Leader Rep. Arthur Defensor (Iloilo), na hindi masasayang at lalong hindi magagamit sa katiwalian ang pondo.",2
first time ko ngorder dto sa shop nato at satisfied nman ako tent lang kinuha ko at malaki nadin sya,2
Idinagdag ng mga mambabatas na ang motorista na nagte-text habang nagmamaneho ay apat na ulit ang posibilidad na maaksidente.,0
10 10 ang cute at ang laki nya what u see is what u get may lalagyan na ko ng tubig sa long travel at sa work i recommend the quality of this one thank you seller,2
Ginawa ni Gonzalez ang pahayag nitong Miyerkules matapos akusahan ni socio-economic planning secretary Ralph Recto na may mga produktong petrolyo ang overprice gaya ng diesel.,0
no good baliktad ang pagkaka kabit ng pinaka glass s frame as u can see in the pictures hindi sya fit s frame may parang lukot ung pinaka main purpose qng bakit q to binili at kung ano ung naka advertise is not what i get... this is trash waste,0
Naging mas pasensyoso sana ako sa mga bata.,0
May napaiguan si Mar Roxas sa iya commercial. Trabaho lang. Bilat mo maton.,0
"""Nag-high tide kahapon [Lunes]. Kaya lalong lumala yung baha,"" ayon kay Amparo.",0
Tatakbo na si Duterte! So mahahati ang boto sa kanila ni Miriam. At the end si Mar Roxas pa mananalo. Haynako!,0
"May pabirong komento na ang mukha ni Binay ay dapat ideklarang carcinogen, at naunahan pa ng bacon.",1
sorry for the late rating the wire less headset is working well sound s good kaso mabilis malowbat i think 1 to 2 hrs then you have to charge it again recommended,1
hm mabango pero ok lng namn so ganda will order again,2
"""Ang Kilos Na! movement ay inorganisa ng ""Kaya Natin,"" isa organisasyon na itinatag noong 2008 ng mga ""repormistang"" opisyal sa lokal na pamahalaan.""",2
cooler works well and comfortable siyang gamitin though hindi masyadong stable yung mga legs ok siya if your laptop is light in weight but if mabigat parang bibigay agad,2
"""But today, we are having a sunny weather, the first time since Pepeng visited the country,"" ayon sa opisyal.",2
New witness vs Binay in corruption hearing | via INQUIRER,1
tumbler came with broken lid there was a missing piece wala yung metal na nakalagay sa butas i fixed it na lang myself instead of returning it ganda naman ng tumbler really kept my water cold for hours,1
"May pagtatanong kung ano ang pagkakaiba ni Binay at Alma; isang sagot: si Binay ay nognog, si Alma ay moreno.",1
Pitong pulis na karamihan ay mula sa Metro Manila ang naunang sinibak ni Verzosa sa trabaho dahil sa hindi pagsipot sa pagdinig ng korte.,0
Nagpa-late kami ng uwi para iwas traffic pero na-traffic pa rin kami nang kaunti.,1
Ang nasabing mga manggagawa ay kabilang sa mga obrero na sumailalim sa force leave ng kani-kanilang kumpanya noong Disyembre 2008.,0
slow turn out of food ngkakahalo halo pa ung orders,0
maganda siya pero may napansin ako na pangit sa tahi parang natastas pero naremedyohan din naman and good ang pagkakaremedyo di gaano obvious fast delivery kakaorder ko lang nito kahapon,1
Nag-order na lang sana ako ng chicken.,0
"Gipahibaw ni Atty. Ben Militar, legal counsel sa Abaca, nga ipasaka nila ang ilang reklamo sa labing daling panahon.",1
"""Hindi makapagsalita dahil bugbog sarado...inutos raw sa kanya (pero) hindi raw niya alam kung sino,"" pahayag ni Sabile.",0
"im so excited for my mom and dad, i bought this para sakanila,ok naman yung product sa packaging lang ako na dissapoint kasi walang fragile na nakalagay, distorted din yung box as a result,tas may mga dents and scratches sa item,parang 2nd hand tuloy ang itsura and sana magtagal xa.",0
walang kwenta porket bayad na sa shopee pay damaged item ang ipapadala? tingin ko hindi kasalanan ng courier to dahil luma din ang karton na pinambalot ni seller bka isinauli na yo tpos pinadala nya ulit ngyn. makakarma ka din,0
maganda sana kaso durog yung high lighter kainis,1
Ibang aso sana ang aming inampon.,0
"Sa lahat ng sinabi ni vp binay, ang pandak at nognog lang daw ang totoo, at ang iba ay bullshit.",1
good purple po order ko kulay pink po yung dumating pero sulit nmn dahil affordable lng,1
"May nagsasabi na bilang bise ni PNoy, wala ring kwenta si Binay sa 6 na taon.",1
Si (Lourdes) Arroyo ay mula sa pamilya ng mga haciendero na Tuason at Arroyo.,1
Sino ka ba at anong ginawa mo kay Danielle Steele dahil nakakadismaya ang book na ito na pinilit ko na lang tapusin nang walang nangyayari.,0
hindi siya fast charging,2
okay lang for its price pero hindi talaga long lasting. parang alcohol lang with subtle fragrance once it sets.,2
gusto ko yang sinabe mo ah kaso may binay eh,1
Roxas on anti-Binay ads: Bakit ko naman gagastusan iyan eh nahihirapan akong maghanap ng pera para sa ads ko? IkawNaBa…,1
"Human gipa-blotter ang panghulga, nipahibaw dayon dayon sa Econg sa CIDG Region 7 aron mangayo'g police protection.",0
