Feedback_ID,Student_ID,Faculty_ID,Subject_ID,Teaching,Communication,Practical,Notes,Interaction,Overall,Comment,Sentiment,Date
25,ST0848,F022,SUB023,5,4,5,5,4,4,Great practical sessions.,Positive,2025-12-02
26,ST0065,F002,SUB012,4,4,4,4,5,4,Very interactive class.,Positive,2025-06-26
27,ST0445,F026,SUB005,5,5,4,4,4,4,Helpful and supportive faculty.,Positive,2025-12-30
28,ST0754,F009,SUB018,4,3,3,4,3,4,Average teaching experience.,Neutral,2025-11-09
29,ST0765,F003,SUB022,1,1,2,2,2,2,Practicals were insufficient.,Negative,2025-11-01
30,ST0339,F017,SUB017,5,5,4,4,5,5,Concepts explained clearly.,Positive,2025-08-20
31,ST0336,F020,SUB019,4,5,4,5,4,4,Concepts explained clearly.,Positive,2025-09-17
32,ST0367,F014,SUB003,4,5,5,4,5,4,Concepts explained clearly.,Positive,2025-06-28
33,ST0632,F035,SUB027,1,1,1,2,2,2,Class was not engaging.,Negative,2025-08-12
34,ST0323,F032,SUB010,3,3,4,3,3,4,Class was okay.,Neutral,2025-05-22
35,ST0760,F032,SUB030,5,5,4,5,4,5,Concepts explained clearly.,Positive,2025-11-20
36,ST0375,F030,SUB002,2,1,2,1,1,1,Needs improvement in teaching.,Negative,2025-04-09
37,ST0016,F032,SUB001,2,1,2,1,2,1,Needs better communication.,Negative,2025-04-19
38,ST0796,F019,SUB028,3,4,3,3,3,3,Average teaching experience.,Neutral,2025-10-04
39,ST0546,F018,SUB016,3,4,4,4,4,3,Average teaching experience.,Neutral,2025-11-21
40,ST0773,F009,SUB029,5,4,4,5,4,5,Great practical sessions.,Positive,2025-01-21
41,ST0124,F020,SUB019,4,4,5,4,5,4,Helpful and supportive faculty.,Positive,2025-10-05
42,ST0898,F014,SUB007,5,4,5,4,4,5,Great practical sessions.,Positive,2025-10-21
43,ST0914,F009,SUB001,3,3,3,3,4,3,Need more examples.,Neutral,2025-11-15
44,ST0395,F026,SUB024,4,5,5,4,5,4,Concepts explained clearly.,Positive,2025-08-24
45,ST0191,F020,SUB018,4,5,4,4,5,4,Excellent teaching and explanation.,Positive,2025-02-13
46,ST0364,F025,SUB017,5,4,4,5,5,4,Great practical sessions.,Positive,2025-07-14
47,ST0895,F031,SUB028,4,4,4,4,5,5,Very interactive class.,Positive,2025-09-01
48,ST0831,F011,SUB020,3,4,3,3,4,4,Average teaching experience.,Neutral,2025-10-21
49,ST0004,F001,SUB010,4,5,5,5,4,4,Very interactive class.,Positive,2025-12-13
50,ST0573,F036,SUB027,5,4,5,5,5,5,Great practical sessions.,Positive,2025-09-17
51,ST0319,F031,SUB013,4,4,5,4,5,5,Great practical sessions.,Positive,2025-06-15
52,ST0678,F009,SUB005,4,4,4,4,4,4,Need more examples.,Neutral,2025-11-16
53,ST0725,F008,SUB005,1,1,2,1,1,2,Needs improvement in teaching.,Negative,2025-06-01
54,ST0987,F034,SUB012,5,4,5,4,5,4,Excellent teaching and explanation.,Positive,2025-05-14
55,ST0091,F016,SUB017,4,3,3,3,4,3,Average teaching experience.,Neutral,2025-07-06
56,ST0528,F038,SUB011,4,5,5,4,4,4,Helpful and supportive faculty.,Positive,2025-06-05
57,ST0699,F034,SUB006,4,5,4,4,4,4,Helpful and supportive faculty.,Positive,2025-01-04
58,ST0024,F012,SUB022,4,4,4,4,3,3,Satisfactory explanation.,Neutral,2025-06-16
59,ST0287,F022,SUB024,5,4,4,4,5,4,Helpful and supportive faculty.,Positive,2025-07-02
60,ST0954,F025,SUB024,5,4,4,5,4,5,Very interactive class.,Positive,2025-02-13
61,ST0815,F026,SUB024,5,4,5,5,4,5,Very interactive class.,Positive,2025-05-03
62,ST0866,F002,SUB011,1,1,1,1,1,2,Class was not engaging.,Negative,2025-10-05
63,ST0557,F002,SUB013,5,5,4,4,4,5,Excellent teaching and explanation.,Positive,2025-11-27
64,ST0650,F023,SUB026,4,4,4,4,5,4,Concepts explained clearly.,Positive,2025-05-17
65,ST0718,F026,SUB014,1,2,2,2,1,1,Practicals were insufficient.,Negative,2025-07-07
66,ST0193,F013,SUB015,2,1,1,2,1,1,Needs better communication.,Negative,2025-12-18
67,ST0122,F032,SUB029,5,5,4,4,4,4,Very interactive class.,Positive,2025-09-05
68,ST0892,F009,SUB030,4,4,3,3,3,4,Need more examples.,Neutral,2025-09-09
69,ST0352,F003,SUB026,4,4,5,4,4,5,Concepts explained clearly.,Positive,2025-09-18
70,ST0157,F015,SUB016,5,4,4,5,5,5,Very interactive class.,Positive,2025-11-12
71,ST0643,F040,SUB019,3,4,3,4,3,3,Need more examples.,Neutral,2025-08-02
72,ST0026,F018,SUB009,4,4,4,5,5,4,Concepts explained clearly.,Positive,2025-05-09
73,ST0724,F019,SUB025,5,5,4,4,4,5,Excellent teaching and explanation.,Positive,2025-10-26
74,ST0550,F018,SUB023,4,4,4,3,4,4,Average teaching experience.,Neutral,2025-09-20
75,ST0130,F015,SUB017,1,1,1,2,2,1,Needs improvement in teaching.,Negative,2025-02-28
76,ST0589,F011,SUB013,4,4,5,4,5,5,Great practical sessions.,Positive,2025-02-28
77,ST0304,F037,SUB022,5,4,5,5,5,4,Helpful and supportive faculty.,Positive,2025-04-03
78,ST0532,F002,SUB029,5,5,5,5,4,4,Very interactive class.,Positive,2025-12-18
79,ST0743,F015,SUB009,5,4,5,5,5,4,Very interactive class.,Positive,2025-01-31
80,ST0788,F011,SUB026,5,5,4,4,4,4,Helpful and supportive faculty.,Positive,2025-07-06
81,ST0692,F014,SUB009,4,5,5,4,4,4,Excellent teaching and explanation.,Positive,2025-10-15
82,ST0833,F032,SUB022,4,5,4,4,4,5,Helpful and supportive faculty.,Positive,2025-11-07
83,ST0080,F027,SUB014,5,4,5,5,5,4,Great practical sessions.,Positive,2025-02-19
84,ST0630,F020,SUB027,4,5,4,5,5,4,Helpful and supportive faculty.,Positive,2025-08-13
85,ST0980,F007,SUB019,3,3,4,4,3,4,Class was okay.,Neutral,2025-11-28
86,ST0770,F022,SUB016,4,4,5,5,4,4,Very interactive class.,Positive,2025-01-26
87,ST0091,F032,SUB008,3,3,3,3,4,3,Satisfactory explanation.,Neutral,2025-06-28
88,ST0770,F035,SUB030,5,5,5,4,4,4,Great practical sessions.,Positive,2025-03-12
89,ST0115,F009,SUB005,4,5,4,5,4,5,Helpful and supportive faculty.,Positive,2025-03-13
90,ST0192,F021,SUB020,5,5,4,5,4,5,Concepts explained clearly.,Positive,2025-04-25
91,ST0554,F031,SUB002,5,4,4,4,5,5,Great practical sessions.,Positive,2025-03-13
92,ST0226,F027,SUB022,4,3,4,4,4,4,Class was okay.,Neutral,2025-08-11
93,ST0554,F002,SUB010,3,3,3,4,4,4,Need more examples.,Neutral,2025-04-29
94,ST0670,F021,SUB022,1,2,2,2,1,1,Needs better communication.,Negative,2025-12-01
95,ST0842,F034,SUB016,4,5,5,5,5,4,Excellent teaching and explanation.,Positive,2025-09-18
96,ST0879,F040,SUB028,5,5,4,5,4,5,Concepts explained clearly.,Positive,2025-03-19
97,ST0809,F036,SUB026,4,4,4,5,5,5,Very interactive class.,Positive,2025-02-17
98,ST0480,F016,SUB013,4,4,4,4,4,3,Satisfactory explanation.,Neutral,2025-03-05
99,ST0763,F004,SUB021,3,3,4,3,4,4,Average teaching experience.,Neutral,2025-10-24
100,ST0849,F003,SUB022,4,4,5,4,5,4,Helpful and supportive faculty.,Positive,2025-03-13
101,ST0548,F027,SUB025,4,4,5,5,5,4,Helpful and supportive faculty.,Positive,2025-10-10
102,ST0761,F015,SUB025,4,5,5,5,4,4,Excellent teaching and explanation.,Positive,2025-12-12
103,ST0541,F014,SUB009,5,4,5,4,5,4,Concepts explained clearly.,Positive,2025-01-19
104,ST0908,F003,SUB021,4,3,3,3,4,3,Satisfactory explanation.,Neutral,2025-10-06
105,ST0196,F031,SUB011,5,5,4,4,5,5,Very interactive class.,Positive,2025-11-12
106,ST0052,F011,SUB013,3,3,3,3,3,4,Satisfactory explanation.,Neutral,2025-07-25
107,ST0886,F021,SUB004,5,5,5,5,4,5,Excellent teaching and explanation.,Positive,2025-02-22
108,ST0269,F026,SUB007,5,4,5,5,4,4,Concepts explained clearly.,Positive,2025-04-20
109,ST0100,F014,SUB008,5,5,5,4,5,4,Very interactive class.,Positive,2025-12-17
110,ST0138,F027,SUB005,4,4,5,4,5,4,Great practical sessions.,Positive,2025-06-12
111,ST0850,F035,SUB018,4,4,3,3,3,4,Need more examples.,Neutral,2025-04-16
112,ST0330,F002,SUB013,5,5,4,5,4,4,Excellent teaching and explanation.,Positive,2025-07-04
113,ST0640,F023,SUB028,5,5,4,4,5,5,Concepts explained clearly.,Positive,2025-09-17
114,ST0140,F038,SUB012,5,5,5,5,4,5,Great practical sessions.,Positive,2025-01-27
115,ST0134,F015,SUB014,4,5,4,4,4,5,Very interactive class.,Positive,2025-05-17
116,ST0744,F004,SUB029,3,3,4,3,4,4,Satisfactory explanation.,Neutral,2025-01-19
117,ST0350,F033,SUB015,4,4,4,4,4,4,Can improve interaction.,Neutral,2025-11-15
118,ST0291,F009,SUB026,5,5,4,4,5,4,Helpful and supportive faculty.,Positive,2025-06-10
119,ST0623,F012,SUB026,1,1,1,1,1,2,Class was not engaging.,Negative,2025-02-28
120,ST0128,F025,SUB009,4,4,5,4,5,5,Excellent teaching and explanation.,Positive,2025-09-23
121,ST0889,F025,SUB010,1,2,1,2,2,2,Practicals were insufficient.,Negative,2025-10-25
122,ST0881,F004,SUB018,5,5,4,4,5,5,Very interactive class.,Positive,2025-09-11
123,ST0092,F037,SUB002,4,3,3,4,3,4,Average teaching experience.,Neutral,2025-07-15
124,ST0075,F018,SUB006,5,5,4,4,4,5,Excellent teaching and explanation.,Positive,2025-06-23
125,ST0501,F002,SUB003,4,5,4,5,4,5,Very interactive class.,Positive,2025-09-26
126,ST0372,F015,SUB016,4,5,5,5,4,5,Very interactive class.,Positive,2025-07-04
127,ST0220,F035,SUB014,5,4,4,4,5,5,Excellent teaching and explanation.,Positive,2025-12-30
128,ST0998,F034,SUB006,4,4,5,4,4,5,Helpful and supportive faculty.,Positive,2025-04-26
129,ST0428,F013,SUB026,3,3,3,3,3,4,Average teaching experience.,Neutral,2025-03-30
130,ST0636,F013,SUB030,4,4,4,4,5,5,Great practical sessions.,Positive,2025-02-27
131,ST0710,F022,SUB030,5,5,5,5,4,4,Great practical sessions.,Positive,2025-04-20
132,ST0005,F004,SUB016,4,3,4,4,3,3,Need more examples.,Neutral,2025-01-20
133,ST0519,F034,SUB015,4,3,3,3,4,3,Need more examples.,Neutral,2025-10-05
134,ST0940,F012,SUB012,4,5,4,5,4,4,Very interactive class.,Positive,2025-03-15
135,ST0476,F028,SUB023,1,1,2,2,1,1,Needs improvement in teaching.,Negative,2025-08-27
136,ST0331,F003,SUB024,5,5,4,5,5,5,Excellent teaching and explanation.,Positive,2025-08-09
137,ST0658,F026,SUB015,5,5,4,5,5,5,Very interactive class.,Positive,2025-12-17
138,ST0079,F003,SUB006,4,5,5,4,5,5,Helpful and supportive faculty.,Positive,2025-11-21
139,ST0959,F012,SUB005,5,4,5,5,5,4,Excellent teaching and explanation.,Positive,2025-09-26
140,ST0126,F030,SUB026,2,2,2,1,1,2,Concepts not explained clearly.,Negative,2025-11-13
141,ST0821,F014,SUB026,5,4,4,5,5,4,Very interactive class.,Positive,2025-06-17
142,ST0627,F018,SUB020,5,5,5,5,5,4,Great practical sessions.,Positive,2025-11-01
143,ST0808,F022,SUB006,4,4,5,5,5,4,Concepts explained clearly.,Positive,2025-07-24
144,ST0974,F006,SUB018,3,3,4,4,3,3,Need more examples.,Neutral,2025-11-09
145,ST0012,F011,SUB022,4,4,4,4,3,3,Need more examples.,Neutral,2025-12-11
146,ST0685,F007,SUB006,4,4,3,3,3,3,Average teaching experience.,Neutral,2025-08-14
147,ST0335,F013,SUB018,3,4,3,4,4,4,Average teaching experience.,Neutral,2025-04-13
148,ST0972,F010,SUB007,5,4,4,5,4,4,Great practical sessions.,Positive,2025-02-03
149,ST0187,F002,SUB029,3,4,3,3,4,3,Class was okay.,Neutral,2025-01-07
150,ST0153,F012,SUB020,5,4,5,5,5,5,Concepts explained clearly.,Positive,2025-02-02
151,ST0924,F007,SUB015,5,4,4,4,5,4,Helpful and supportive faculty.,Positive,2025-12-10
152,ST0217,F022,SUB027,5,4,4,5,4,4,Very interactive class.,Positive,2025-05-26
153,ST0525,F028,SUB020,2,1,1,2,1,2,Needs improvement in teaching.,Negative,2025-07-07
154,ST0165,F030,SUB004,4,4,4,4,5,4,Excellent teaching and explanation.,Positive,2025-12-07
155,ST0311,F023,SUB003,5,4,4,5,5,4,Helpful and supportive faculty.,Positive,2025-11-10
156,ST0198,F012,SUB003,4,3,4,4,4,4,Class was okay.,Neutral,2025-01-27
157,ST0249,F028,SUB015,4,5,4,5,5,4,Very interactive class.,Positive,2025-11-14
158,ST0441,F026,SUB013,5,5,4,5,4,4,Concepts explained clearly.,Positive,2025-12-27
159,ST0145,F007,SUB006,4,3,3,4,3,3,Class was okay.,Neutral,2025-07-07
160,ST0674,F039,SUB004,4,5,5,5,4,5,Very interactive class.,Positive,2025-08-12
161,ST0851,F027,SUB003,5,4,4,4,4,4,Very interactive class.,Positive,2025-09-25
162,ST0014,F005,SUB016,5,5,5,5,5,4,Very interactive class.,Positive,2025-03-16
163,ST0645,F021,SUB018,5,5,5,5,4,5,Very interactive class.,Positive,2025-11-13
164,ST0096,F013,SUB006,5,4,5,5,5,4,Great practical sessions.,Positive,2025-12-30
165,ST0672,F021,SUB009,3,4,4,4,4,3,Class was okay.,Neutral,2025-06-12
166,ST0679,F028,SUB019,5,5,4,5,4,5,Excellent teaching and explanation.,Positive,2025-04-14
167,ST0346,F033,SUB017,4,3,4,4,3,4,Class was okay.,Neutral,2025-12-02
168,ST0907,F033,SUB020,4,5,5,4,5,4,Great practical sessions.,Positive,2025-12-31
169,ST0210,F035,SUB022,4,4,3,3,4,3,Class was okay.,Neutral,2025-11-21
170,ST0796,F036,SUB025,5,5,4,4,4,5,Helpful and supportive faculty.,Positive,2025-07-30
171,ST0850,F008,SUB003,4,4,5,4,5,5,Excellent teaching and explanation.,Positive,2025-06-19
172,ST0119,F035,SUB023,5,4,5,4,4,5,Very interactive class.,Positive,2025-01-22
173,ST0272,F012,SUB024,5,4,5,4,4,4,Great practical sessions.,Positive,2025-09-15
174,ST0927,F019,SUB018,3,4,4,4,4,3,Average teaching experience.,Neutral,2025-09-07
175,ST0306,F033,SUB022,2,1,1,1,1,2,Class was not engaging.,Negative,2025-08-04
176,ST0435,F030,SUB022,4,5,4,5,4,4,Very interactive class.,Positive,2025-02-23
177,ST0717,F021,SUB027,4,5,4,5,5,5,Very interactive class.,Positive,2025-05-09
178,ST0396,F022,SUB015,4,5,4,5,4,4,Very interactive class.,Positive,2025-12-25
179,ST0419,F035,SUB011,5,5,5,5,4,5,Concepts explained clearly.,Positive,2025-08-22
180,ST0663,F004,SUB014,4,5,5,4,5,4,Great practical sessions.,Positive,2025-12-28
181,ST0467,F037,SUB007,4,5,4,5,4,4,Excellent teaching and explanation.,Positive,2025-08-21
182,ST0711,F029,SUB006,2,2,2,2,2,1,Practicals were insufficient.,Negative,2025-11-28
183,ST0121,F014,SUB009,4,4,4,5,5,4,Concepts explained clearly.,Positive,2025-08-05
184,ST0430,F013,SUB013,4,4,4,4,5,4,Excellent teaching and explanation.,Positive,2025-01-27
185,ST0136,F021,SUB015,5,5,4,4,5,5,Great practical sessions.,Positive,2025-07-22
186,ST0602,F028,SUB018,4,3,3,3,3,3,Class was okay.,Neutral,2025-09-25
187,ST0078,F012,SUB021,5,5,5,4,4,4,Excellent teaching and explanation.,Positive,2025-07-24
188,ST0076,F018,SUB018,5,4,5,5,5,4,Helpful and supportive faculty.,Positive,2025-09-23
189,ST0080,F010,SUB009,4,4,4,5,4,5,Excellent teaching and explanation.,Positive,2025-07-04
190,ST0492,F013,SUB002,5,4,4,5,4,4,Excellent teaching and explanation.,Positive,2025-08-22
191,ST0399,F029,SUB029,5,5,4,5,4,4,Helpful and supportive faculty.,Positive,2025-11-28
192,ST0793,F005,SUB012,5,5,5,4,4,5,Helpful and supportive faculty.,Positive,2025-02-03
193,ST0066,F013,SUB004,2,2,1,2,1,1,Class was not engaging.,Negative,2025-01-27
194,ST0400,F034,SUB030,3,3,3,4,4,4,Average teaching experience.,Neutral,2025-09-15
195,ST0991,F020,SUB001,3,3,3,4,4,4,Class was okay.,Neutral,2025-03-24
196,ST0833,F018,SUB015,3,4,4,3,3,3,Can improve interaction.,Neutral,2025-05-06
197,ST0658,F030,SUB011,3,4,4,4,4,3,Class was okay.,Neutral,2025-12-06
198,ST0803,F040,SUB009,5,5,4,4,4,4,Helpful and supportive faculty.,Positive,2025-11-02
199,ST0800,F031,SUB022,4,3,4,3,3,3,Average teaching experience.,Neutral,2025-07-19
200,ST0757,F001,SUB014,4,5,4,4,4,4,Very interactive class.,Positive,2025-05-08
201,ST0607,F019,SUB007,4,4,4,5,5,5,Great practical sessions.,Positive,2025-09-25
202,ST0479,F001,SUB002,5,4,5,4,5,5,Helpful and supportive faculty.,Positive,2025-09-03
203,ST0171,F011,SUB020,2,1,1,2,2,1,Needs improvement in teaching.,Negative,2025-07-18
204,ST0131,F034,SUB007,4,3,4,3,4,3,Class was okay.,Neutral,2025-12-19
205,ST0830,F031,SUB023,5,5,4,5,4,5,Concepts explained clearly.,Positive,2025-06-26
206,ST0697,F026,SUB016,5,5,4,5,4,4,Helpful and supportive faculty.,Positive,2025-06-14
207,ST0872,F009,SUB018,4,5,4,4,4,4,Great practical sessions.,Positive,2025-07-14
208,ST0611,F032,SUB023,5,5,5,5,4,5,Great practical sessions.,Positive,2025-10-06
209,ST0324,F002,SUB001,2,1,2,1,1,2,Class was not engaging.,Negative,2025-02-27
210,ST0959,F016,SUB001,5,5,4,5,4,5,Concepts explained clearly.,Positive,2025-12-16
211,ST0394,F017,SUB007,5,5,4,5,5,5,Concepts explained clearly.,Positive,2025-03-01
212,ST0215,F021,SUB028,5,5,5,4,5,5,Concepts explained clearly.,Positive,2025-12-17
213,ST0112,F027,SUB003,4,4,4,5,5,4,Very interactive class.,Positive,2025-07-23
214,ST0047,F025,SUB024,5,4,4,5,4,5,Great practical sessions.,Positive,2025-09-25
215,ST0642,F036,SUB019,4,5,5,4,4,4,Very interactive class.,Positive,2025-12-12
216,ST0193,F035,SUB009,4,4,4,5,5,4,Great practical sessions.,Positive,2025-10-16
217,ST0116,F006,SUB017,1,2,1,1,1,2,Class was not engaging.,Negative,2025-08-18
218,ST0581,F011,SUB002,4,4,4,4,5,4,Great practical sessions.,Positive,2025-09-18
219,ST0874,F038,SUB027,5,4,5,4,5,5,Concepts explained clearly.,Positive,2025-12-31
220,ST0404,F020,SUB015,5,5,5,5,4,5,Concepts explained clearly.,Positive,2025-09-23
221,ST0001,F011,SUB028,4,5,4,5,4,4,Great practical sessions.,Positive,2025-12-19
222,ST0548,F039,SUB005,5,5,4,5,5,4,Excellent teaching and explanation.,Positive,2025-12-10
223,ST0546,F007,SUB003,5,4,4,4,4,5,Helpful and supportive faculty.,Positive,2025-06-29
224,ST0776,F008,SUB020,4,5,5,5,4,4,Very interactive class.,Positive,2025-10-03
225,ST0160,F002,SUB016,5,5,4,5,4,5,Concepts explained clearly.,Positive,2025-11-15
226,ST0155,F020,SUB006,5,5,4,4,4,5,Concepts explained clearly.,Positive,2025-10-27
227,ST0348,F003,SUB025,1,2,1,2,1,1,Practicals were insufficient.,Negative,2025-11-10
228,ST0380,F016,SUB005,5,5,4,5,4,4,Excellent teaching and explanation.,Positive,2025-07-17
229,ST0461,F024,SUB025,5,5,4,5,5,4,Helpful and supportive faculty.,Positive,2025-10-04
230,ST0923,F029,SUB004,4,5,5,5,4,5,Concepts explained clearly.,Positive,2025-07-20
231,ST0203,F009,SUB003,4,5,4,4,5,5,Very interactive class.,Positive,2025-05-27
232,ST0980,F034,SUB006,4,3,3,4,3,3,Average teaching experience.,Neutral,2025-12-04
233,ST0634,F024,SUB030,5,4,5,4,4,5,Excellent teaching and explanation.,Positive,2025-07-28
234,ST0065,F029,SUB010,1,2,2,1,1,1,Concepts not explained clearly.,Negative,2025-09-12
235,ST0102,F031,SUB026,3,4,3,3,4,3,Class was okay.,Neutral,2025-10-24
236,ST0694,F007,SUB011,5,5,4,5,4,4,Concepts explained clearly.,Positive,2025-11-29
237,ST0535,F005,SUB011,4,4,5,5,4,4,Great practical sessions.,Positive,2025-10-27
238,ST0913,F009,SUB025,5,5,4,5,4,4,Very interactive class.,Positive,2025-08-16
239,ST0498,F025,SUB001,3,4,4,3,3,4,Average teaching experience.,Neutral,2025-03-28
240,ST0167,F012,SUB014,4,4,4,4,3,4,Can improve interaction.,Neutral,2025-01-04
241,ST0849,F036,SUB007,1,2,2,1,2,2,Class was not engaging.,Negative,2025-07-12
242,ST0169,F002,SUB027,4,4,4,5,5,5,Very interactive class.,Positive,2025-01-18
243,ST0875,F024,SUB008,4,5,5,4,5,4,Excellent teaching and explanation.,Positive,2025-06-10
244,ST0988,F017,SUB023,5,4,5,4,5,4,Helpful and supportive faculty.,Positive,2025-11-28
245,ST0326,F038,SUB013,4,4,5,5,5,4,Very interactive class.,Positive,2025-09-18
246,ST0605,F014,SUB004,3,4,3,4,4,4,Average teaching experience.,Neutral,2025-02-17
247,ST0032,F001,SUB011,4,5,4,5,5,4,Concepts explained clearly.,Positive,2025-08-31
248,ST0190,F028,SUB016,4,4,4,4,4,5,Excellent teaching and explanation.,Positive,2025-07-24
249,ST0451,F002,SUB012,4,4,5,4,4,4,Great practical sessions.,Positive,2025-08-17
250,ST0602,F011,SUB015,4,5,5,4,4,4,Very interactive class.,Positive,2025-12-12
251,ST0062,F011,SUB022,4,4,5,4,4,5,Great practical sessions.,Positive,2025-08-17
252,ST0301,F027,SUB016,4,5,5,5,4,5,Very interactive class.,Positive,2025-02-09
253,ST0243,F009,SUB025,4,4,4,3,3,4,Class was okay.,Neutral,2025-03-11
254,ST0838,F030,SUB006,3,3,3,4,3,3,Need more examples.,Neutral,2025-12-15
255,ST0405,F012,SUB030,3,4,4,4,4,4,Need more examples.,Neutral,2025-10-23
256,ST0673,F005,SUB001,4,5,4,4,4,4,Very interactive class.,Positive,2025-10-30
257,ST0907,F035,SUB005,4,4,5,4,4,4,Helpful and supportive faculty.,Positive,2025-10-19
258,ST0218,F033,SUB022,5,4,4,5,5,5,Helpful and supportive faculty.,Positive,2025-03-22
259,ST0473,F033,SUB023,4,5,5,5,4,4,Great practical sessions.,Positive,2025-02-28
260,ST0528,F021,SUB004,4,4,4,4,4,4,Excellent teaching and explanation.,Positive,2025-02-06
261,ST0089,F019,SUB008,4,5,5,4,5,5,Very interactive class.,Positive,2025-11-22
262,ST0738,F026,SUB024,5,5,4,5,5,4,Great practical sessions.,Positive,2025-11-27
263,ST0407,F013,SUB012,4,4,4,4,5,4,Helpful and supportive faculty.,Positive,2025-10-11
264,ST0147,F001,SUB012,3,3,3,4,3,3,Need more examples.,Neutral,2025-08-01
265,ST0703,F019,SUB026,5,4,4,5,5,4,Great practical sessions.,Positive,2025-03-14
266,ST0337,F027,SUB009,5,4,5,5,5,5,Concepts explained clearly.,Positive,2025-09-02
267,ST0623,F034,SUB009,5,5,4,5,4,5,Excellent teaching and explanation.,Positive,2025-02-25
268,ST0280,F038,SUB007,5,4,4,5,5,4,Helpful and supportive faculty.,Positive,2025-07-03
269,ST0476,F019,SUB005,5,4,5,4,4,4,Great practical sessions.,Positive,2025-02-06
270,ST0503,F022,SUB022,4,4,5,5,5,5,Great practical sessions.,Positive,2025-08-13
271,ST0216,F026,SUB001,5,5,4,5,5,5,Helpful and supportive faculty.,Positive,2025-05-17
272,ST0527,F005,SUB025,3,4,4,3,4,3,Average teaching experience.,Neutral,2025-05-30
273,ST0612,F037,SUB023,3,4,3,4,3,4,Satisfactory explanation.,Neutral,2025-11-16
274,ST0037,F009,SUB019,4,3,4,3,3,3,Satisfactory explanation.,Neutral,2025-10-16
275,ST0135,F007,SUB001,5,5,4,5,5,4,Great practical sessions.,Positive,2025-04-21
276,ST0780,F008,SUB020,4,5,5,5,4,5,Very interactive class.,Positive,2025-02-06
277,ST0734,F027,SUB027,5,5,4,4,4,4,Concepts explained clearly.,Positive,2025-05-02
278,ST0236,F005,SUB010,4,5,5,5,4,4,Concepts explained clearly.,Positive,2025-11-12
279,ST0858,F012,SUB008,4,3,3,4,4,3,Class was okay.,Neutral,2025-02-19
280,ST0171,F018,SUB006,4,4,4,4,4,4,Excellent teaching and explanation.,Positive,2025-01-26
281,ST0702,F036,SUB022,5,4,4,4,4,4,Excellent teaching and explanation.,Positive,2025-02-14
282,ST0574,F027,SUB021,4,4,4,5,4,4,Helpful and supportive faculty.,Positive,2025-05-11
283,ST0706,F004,SUB007,4,5,5,4,4,5,Very interactive class.,Positive,2025-01-21
284,ST0339,F038,SUB018,5,5,4,4,4,4,Excellent teaching and explanation.,Positive,2025-08-05
285,ST0462,F036,SUB003,4,5,4,4,4,4,Great practical sessions.,Positive,2025-02-03
286,ST0902,F021,SUB026,4,4,3,3,4,3,Class was okay.,Neutral,2025-04-30
287,ST0617,F007,SUB029,4,5,4,5,5,5,Concepts explained clearly.,Positive,2025-10-29
