id,text,sentiment,relevance,evaluation_type,source
sample_176,Maging ang Seaoil ay magbabawas din umano ng 50 sentimos bawat litro ganap na 6 a.m. sa Biyernes. - GMANes.TV,positive,general,general,tagasenti
sample_177,"Ayon kay Estrada, ang isa nitong anak na tinamaan ng virus ay 19-anyos na babae at nag-aaral sa Dela Salle University, Taft. Ave., sa Maynila.",negative,general,general,tagasenti
sample_178,Hinihintay naman ang paliwanag ng tiyahin ng mga nasawi na si Giselle Billones na siyang pinagbilinan sa magkapatid tuwing umaalis ang kanilang mga magulang.,negative,general,general,tagasenti
sample_179,"3 patay, 5 sugatan sa 5 insidente ng sunog Metro Manila",negative,general,general,tagasenti
sample_180,not good wala tape paano magagamit matagal na nga ideliver di pa magagamit,negative,general,general,tagasenti
sample_181,"Mayo 16, ginhilanat ang ini, kag tungod doktor ang bata sini, insigida na nga gindala ini sa WVMC.",neutral,general,general,tagasenti
sample_182,Light-hearted at fun-filled ang Last Holiday kaya nakakagaan ng feeling! Short and sweet pero ang ganda ng message na life is worth living talaga.,positive,general,general,tagasenti
sample_183,APEC 2015: Mag-ingat tayo sa laglag bala. Si Mar Roxas may mga kritisismo.,neutral,general,general,tagasenti
sample_184,Napakagandang libro nito na maraming valuable information mula kay Kevin Roberts kaya i-check niyo ang Lovemarks dahil mahal ko talaga ang mga brands ko.,positive,general,general,tagasenti
sample_185,i like it so much thank u shopee mtagal dumating pero worth it nman i love it,positive,general,general,tagasenti
sample_186,"good quality, madaming sizes kaya makakapili ka ng fit sa fingers mo. thank you seller!",positive,general,general,tagasenti
sample_187,after 5 minutes of using eto na sya,negative,general,general,tagasenti
sample_188,"Babala sa mga kawatan na pulitiko Enrile, Binay, Honasan, Estrada, Escudero etc, Mother of all corruption VP Jojo Binay",negative,general,general,tagasenti
sample_189,high price low quality may sira ang napafala sakin ang chaka ng color,negative,general,general,tagasenti
sample_190,"Gumagana naman yung mga butones nitong cardigan nang maayos, kaso masyadong makati sa balat yung material niya kaya nakaka-distract.",neutral,general,general,tagasenti
sample_191,"Ayon sa ulat ng isang himpilan sa radyo, tinangka mga mangingisda na sagipin ang dambuhalang isda kaya hinatak nila ito palapit sa breakwater.",positive,general,general,tagasenti
sample_192,just check my parcel okay na sana kaso sira pala ung inpods kala ko lowbat lang pero kahit charge na di parin gumagana not expecting much kasi nga mystery siya pero wag naman sanang sira at parang gamit na ung binibigay,negative,general,general,tagasenti
sample_193,"nice fan, kaso one hour lang sya gumagana. and then need to charge again… i will try icharge sya ng matagal if matagal din ba aandar. thank you so much.",positive,general,general,tagasenti
sample_194,"Sa hiwalay na ulat ng dzBB radio, sinabi ni Binay na ipinaalam na niya ang kanyang plano sa 2010 kay dating Pangulong Joseph Estrada.",neutral,general,general,tagasenti
sample_195,"Wala nang tulugan to. Baka mapunta pa yung momentum kay roxas e, mahirap na!",negative,general,general,tagasenti
sample_196,ang liit nang sizes po kahit 40 41 ang liit size ko talaga 40 pero di kasya,negative,general,general,tagasenti
sample_197,Bakit mo ipagkakatiwala ang bansa sa isang babangon pa lang kung meron namang Mar Roxas na 20+ years nang naglilingkod sa bayan? Wag Poe,positive,general,general,tagasenti
sample_198,yes na yes sa wipes 2 times na ko nag order neto ok naman mura lng pero kapakipakinabang lalo pag lumalabas ka with your little one samahan mo pa ng alcohol syempre kaya ok sakin tong wipes.,positive,general,general,tagasenti
sample_199,box should have been taped pagka open ko nung parcel almost crushed na yung box plastic pa yung laman buti di nabitak,neutral,general,general,tagasenti
sample_200,maganda ang quality mataba lang talaga paa ko kaya hirap isuot true to size,positive,general,general,tagasenti
sample_201,ok nmn lahat ng items sulit pagkakabili repeat order na to ilanv beses na ko nabili kay seller pakicheck po nxt time completeness before delivery tnx,positive,general,general,tagasenti
sample_202,"Wala akong in-expect sa libro, pero pagkatapos basahin ay naramdaman kong misogynistic at self-indulgent ang author, kaya hindi ko talaga mairerekomenda ito sa inyo.",negative,general,general,tagasenti
sample_203,"So ""anak ni Mar"" pala itong si DJP, magandang koneksyon. Magiging catchy ang campaign jingle ni Mar Roxas.",positive,general,general,tagasenti
sample_204,May nakapansin na nagdidikit sa partial results sina DU30 at Roxas.,neutral,general,general,tagasenti
sample_205,Umatras ang sasakyan kaya muntik nang bumangga pero nakapag-preno agad ang driver.,neutral,general,general,tagasenti
sample_206,kulang ang items na binili ko.kulang ng mousepad at wlang connector ang isang bluetooth mouse.contacted seller but never get back to me.,negative,general,general,tagasenti
sample_207,okay naman po yung item nareceive ko naman po ng maaga and tama naman yung items nasunod lahat,positive,general,general,tagasenti
sample_208,Para kang si Binay na sinasabing hindi kayang harapin ang kasalanan.,neutral,general,general,tagasenti
sample_209,all goods i received already i used already nice quality malambot sa paa hindi sya nakakailang suotin i ll order again color white naman thanks,positive,general,general,tagasenti
sample_210,Si Patrizah ay anak ng mag-asawang artista na sina Albert Martinez at Yayo Aguila.,neutral,general,general,tagasenti
sample_211,good legit po salamat seller at sa shopee,positive,general,general,tagasenti
sample_212,maganda naman sya kaso mali yung isang color na binigay sana na next time paki tignan yung color,neutral,general,general,tagasenti
sample_213,Nakakaloka hindi ko na alam kapag nanalo talaga si Binay o si Mar. Wala nang pag-asa Pinas. Lalo na si Binay gago magnanakaw.,negative,general,general,tagasenti
sample_214,Tila kailangan i-update ang software para gumana ng maayos.,neutral,general,general,tagasenti
sample_215,"""Black propaganda"" ... Nako Binay kasalanan mo to!",negative,general,general,tagasenti
sample_216,"Salamat sa pambihirang suporta mo, hinayaan mo akong harapin ang problema ko mag-isa para tumibay ako.",negative,general,general,tagasenti
sample_217,Yung papa ko inis na inis pag nadadagdagan si Mar Roxas.,negative,general,general,tagasenti
sample_218,creamy i am looking for a tint. this is no tint! natatanggal at dumidikit pag dinadampi. ano ba yan,negative,general,general,tagasenti
sample_219,the product arrived in good condition maganda po and mura wala naman stains or so whatever kaya goods na goods thank you,positive,general,general,tagasenti
sample_220,i rcvd the packaged today in very good conditon i haven t yet try these profucts so i can give a good feedback i like all the products i rcvd thanks seller shopee and shopee rider,positive,general,general,tagasenti
sample_221,Yung mga damit ba sa display ay pwedeng isukat bago bilhin?,neutral,general,general,tagasenti
sample_222,Mismong si NBI director Nestor Mantaring ang maghahayag sa resulta ng imbestigasyon sa isasagawang press briefing sa Huwebes.,neutral,general,general,tagasenti
sample_223,not good but not bad nmn kasi nga sa price nia mura my damage sya at my itim sa gilid,neutral,general,general,tagasenti
sample_224,"Sakto lang itong nabili kong high chair para sa baby, madaling linisin kaso medyo malaki at hindi pwedeng itiklop para itago.",neutral,general,general,tagasenti
sample_225,awit tubig na my alcohol lang,negative,general,general,tagasenti
sample_226,Busy pa sya madam ipilit sa taong-bayan si Mar Roxas & Leni Robredo.,negative,general,general,tagasenti
sample_227,"Kandidato naman sa panguluhan si Estrada, at napaulat na kinakausap ni Sen Aquino upang hikayating umatras at makuha ang suporta.",neutral,general,general,tagasenti
sample_228,anlayo sa pic sayang ang pera. madaling mapunit mdaling mabakbak. mgnda pa quality ng cartolina. definitely will not biy this product again,negative,general,general,tagasenti
sample_229,wala man ako nung video at pics. ng product. pero supper worth it po ngg product di ka magsisisi..super legit sya maganda tila sa murang halaga lamang..thank u seller,positive,general,general,tagasenti
sample_230,too watery matubig siya so parang tubig talaga ang inispray ko after magpagod sa make up.,negative,general,general,tagasenti
sample_231,Nanawagan ang Pangulo ng alyansa sa pagitan nina Poe at Roxas.,neutral,general,general,tagasenti
sample_232,"Huling dumalaw sa Pilipinas si Gng Clinton, kasalukuyang Secretary of State sa ilalim ng Obama administration, noong pangulo pa ng US si (Bill) Clinton.",neutral,general,general,tagasenti
sample_233,it s a quality and maganda sya at nag try agad ako thanks,positive,general,general,tagasenti
sample_234,nakakaloko dumating ng may punit sa gitna tapos ang dumi pa tapos yung laman ayaw ko nalang mag talk yung belt lang yung maayos eh tas parang gamit pa yung isa tapos may isa pang tabingi ung pagkakatahi ng strap btw thank you still seller,negative,general,general,tagasenti
sample_235,so happy and satisfied xa lahat ng mga inorder q salamat po excited nakong gamitin para xa baby ko,positive,general,general,tagasenti
sample_236,"the security is not good at all we observed na hindi nila gaanong chinecheck yung mga naglalabas pasok, like they are not asking kung may reservation ba sila or something. nauna yung mga colleagues ko sa loob and sumunod kami. upon entering no one ask us or assist us",positive,general,general,tagasenti
sample_237,"Kahit paulit-ulit kong hugasan ang lalagyan, hindi naiiwan ang amoy ng nakaraang ulam.",positive,general,general,tagasenti
sample_238,complete items at maayos yong items thank you shoppee and thank you also seller well order again godbless,positive,general,general,tagasenti
sample_239,Iginiit din ni Ramirez na dapat magkaroon ng mahusay na negosyador ang Pilipinas sa Somalia para sa mga mabibihag na tripulanteng Pinoy.,negative,general,general,tagasenti
sample_240,Ang pahayag ni Dureza ay nakapaloob sa artikulong nakapaskil sa website ng Office of the Press Secretary na may petsang Oct 20.,neutral,general,general,tagasenti
sample_241,"""Unless you get an exciting offer, stick with the job you have right now,"" ayon sa kalihim.",neutral,general,general,tagasenti
sample_242,uwah nakakapayat sobra super cute niya huhu sana magtagal pero so far good quality naman sya esp for its price kuddos to the seller,positive,general,general,tagasenti
sample_243,"Binigay niyo sa akin ang huling sapatos na display na punong-puno ng dumi, ang galing niyong magbenta ng pre-loved items as brand new.",negative,general,general,tagasenti
sample_244,"Dumating on time ang magandang CD na ito, ito na yung hinahanap kong music kaya maganda siyang itago, yan lang muna sa ngayon.",positive,general,general,tagasenti
sample_245,terrible i have to charge the fan for a long time pero saglit ko lang nagagamit also wala pang 1week sira na agad wrong color and wrong brand this looks nothing like in the picture mukang laruan ng bata terrible quality din,negative,general,general,tagasenti
sample_246,pumunta kami ng boyfriend ko last saturday at 3pm pero nakakain na kami ng past 5pm we are waiting for almost 2 hours ang dami pang vacant area pero di nila pinapasok hays di maganda ang service nila dito hays very disappointed,negative,general,general,tagasenti
sample_247,Pilit kong inuunawa ang delay pero hindi na talaga makatarungan ang limang oras na paghihintay.,negative,general,general,tagasenti
sample_248,"you can say that, but i've never heard of binay being concerned about the welfare of others before. it's atypical of him.",negative,general,general,tagasenti
sample_249,"Nagbigay kayo ng libreng wifi na hindi naman maka-load ng kahit anong website, napakabilis at reliable ng connection niyo para sa mga naghihintay.",negative,general,general,tagasenti
