id,text,sentiment,relevance,evaluation_type,source,split_id
candidate_23103,mabilis uminit few seconds umiinit na agad yung unit on off nalang does the job kaya 3 stars sana magamit ng matagal,neutral,general,general,tagasenti,train_68
candidate_32299,"I don't think na hindi umubra ang gamot, baka matagal lang talaga ang proseso ng pagrekober.",neutral,general,general,tagasenti,train_69
candidate_22755,nice. maayos packaging. mabilis din. thanks seller. affordable and sulit talaga. more power sa inyo. kuddos ng maramiiiii,positive,general,general,tagasenti,train_70
candidate_17086,Si Msgr. Esteban Binghay mihulagway sa plano sa Department of Health Region 7 (DOH 7) nga wa gyoy maayong ikatabang sa katawhan.,negative,general,general,tagasenti,train_71
candidate_10188,very poor wala sila pakialam sa hotel nila walang maintenance ng paglilinis parang lahat ng gamit mukang sampung taon ng di pinapalitan ewan kung nagpapalit sila ng unan o kahit bedsheet man lang cr nakadikit na ang dumi kadiri na hindi lang sa cr kundi sa buong kwarto sa buong,negative,general,general,tagasenti,train_72
candidate_15100,Sinabi ni Remonde na may impormasyon silang natanggap na nakita ang helicopter ngunit hindi pa nila ito nakukumpirma.,neutral,general,general,tagasenti,train_73
candidate_7012,"Ang masasabi ko lang after ng debate ""iboto si Binay!""",positive,general,general,tagasenti,train_74
candidate_6926,Mar Roxas: Bullet planting scheme has sown anger and fear |,neutral,general,general,tagasenti,train_75
candidate_32271,"Wala namang nagsabing hindi pwedeng magpahinga, basta tapusin lang ang trabaho sa oras.",neutral,general,general,tagasenti,train_76
candidate_11148,Bihira akong magtiwala sa online stores pero hindi nila ako binigo.,positive,general,general,tagasenti,train_77
candidate_9675,"You're far more dangerous, Sen. Poe. You're an alien. This country can't simply trust you. ?",negative,general,general,tagasenti,train_78
candidate_4149,"Ayon kay Roxas, mali ang pagkakaintindi sa batas ng naturang ahensiya.",negative,general,general,tagasenti,train_79
candidate_12250,"tatlo po yung inorder namin, 2 black at 1 white. maganda yung product kaya lang yung white is sira and medyo marupok na yung tela kaya banat unlike sa 2 black maayos naman at hindi banat.",positive,general,general,tagasenti,train_80
candidate_25970,"Yung mga nakaraang records, saan ba naka-archive?",neutral,general,general,tagasenti,train_81
candidate_3868,okay ung item maganda at mukhang walang leak. angtagal lang na ship out pero oks,positive,general,general,tagasenti,train_82
candidate_27263,"AbiasCBN, maganda ang report niyo tungkol sa hakot buses.",positive,general,general,tagasenti,train_83
candidate_5184,Bago tayo umalis ay hindi ko nagustuhan ang pananalita ng manager sa atin na tila ba nambabastos na.,negative,general,general,tagasenti,train_84
candidate_6075,"Si Binay, kahit maliit at maitim, ay hindi nagnakaw at tapat sa bayan!",positive,general,general,tagasenti,train_85
candidate_10780,"IMHO, undecideds found their new candidate an option different from Binay.",neutral,general,general,tagasenti,train_86
candidate_7787,not good hindi tugma sa inorder ko ang dumating pink rose ang order ko pero light pink ang binigay hindi tuloy mag ka pareho yung una kung inorder,negative,general,general,tagasenti,train_87
candidate_32836,"Honestly, medyo nahihirapan pa rin ako sa software, pero mas mabilis ko na siyang nagagamit ngayon.",positive,general,general,tagasenti,train_88
candidate_1558,tatlo order q yung isa dun ordinary nasira agad,negative,general,general,tagasenti,train_89
candidate_23698,POEA kinastigo sa pagdeklarang 'ilegal' ang Pinay na pinaslang sa Austria,negative,general,general,tagasenti,train_90
candidate_2795,Suno kay Chief Insp. Gilbert Gorero hepe sang San Jose PNP magapangatubang kaso ang suspek nga possible two counts of murder ukon homicide.,negative,general,general,tagasenti,train_91
candidate_23136,Landslide! Yung 500 ni Mar Roxas? Rapmasuy!?,negative,general,general,tagasenti,train_92
candidate_10653,sobrang ganda yung sapatos complete orders pati yung free sock nya meron din thank you shoppe thank you seller salamat ng marami oorder ako ulit,positive,general,general,tagasenti,train_93
candidate_2891,Nag-scroll lang ako sa phone ko buong araw kaya nakapagpahinga pero walang natapos na gawain.,neutral,general,general,tagasenti,train_94
candidate_1436,"But it's obvious hindi mananalo si Mar Roxas. It's either Binay or Duterte, pero pareho silang sinisira ng ABS-CBN.",negative,general,general,tagasenti,train_95
candidate_14463,"""""Kung may batas na diyan, tutupad tayo, pero kung hindi marami sigurong tututol at kukuwestiyon sa panukala nila,"" pahayag ng mambabatas.""",neutral,general,general,tagasenti,train_96
candidate_24230,bought 2pcs hindi gumagana ang isa chinachat ko si seller nung una nag rereply nung huli wala na so disappointed they dont check aiguro bago iship,negative,general,general,tagasenti,train_97
candidate_29432,Ubos na ang sabon sa banyo at nakalimutan kong bumili kahapon.,negative,general,general,tagasenti,train_98
candidate_21543,mabait ung seller at magaganda ung item thank u,positive,general,general,tagasenti,train_99
candidate_5430,Mali ang description nito dahil USB cord pala siya at hindi PS/2 tulad ng hinahanap ko. Nakakainis dahil ito lang ang regalo ko nung Pasko.,negative,general,general,tagasenti,train_100
candidate_26194,Sinabi nito na kailangang managot sa batas ang naturang negosyante at ang grupo o kumpanya na kanyang kinatawan sa pag-alok ng suhol sa mahistrado.,negative,general,general,tagasenti,train_101
candidate_7827,ok ok naman mali lang un isang color sana man lang nag message c sellwr if hindi available,neutral,general,general,tagasenti,train_102
candidate_17802,ordered last dec 18 kahapon pa lang dumating jan 02 but still 5 5 kasi may freebies,neutral,general,general,tagasenti,train_103
candidate_2031,Hinarang nina Sens. Arroyo at Pangilinan ang kahilingang ni Trillanes na nakapaloob sa Senate Resolution No. 765 sa pangambang abusuhin ito ng ibang senador.,neutral,general,general,tagasenti,train_104
candidate_16184,"Pwede na linis ko ng bahay, bukas madumi na naman.",negative,general,general,tagasenti,train_105
candidate_14337,thank you kuya rider nagdeliver. thank you seller and shopee. ang ganda ng item nagustuhan ng nanay ko. nextym order ulit ako. sa uulitin mas maganda pa ang dumating. sana magtagal din ito.,positive,general,general,tagasenti,train_106
candidate_2315,hindi magamit hindi kasya sa kalan nag chat aqo sa seller na kung pwede ibalik hindi nmn nag rereply sayang lang pera ko,negative,general,general,tagasenti,train_107
candidate_9350,"VP Binay asks residents in Guimba, Nueva Ecija what help they need after the onslaught of Lando",positive,general,general,tagasenti,train_108
candidate_30151,Nahanap ko ang pera ko sa bulsa ng lumang pantalon.,positive,general,general,tagasenti,train_109
candidate_15444,May nagtanong kung ano ang nagawa ni Binay bilang bise presidente.,neutral,general,general,tagasenti,train_110
candidate_14328,Tinawag din niyang immoral at short-cut solution ang nais gamitin ng DOH sa pagtugon sa problema ng paglaganap ng HIV/AIDS.,negative,general,general,tagasenti,train_111
candidate_2674,"Ayon kay Malaya, tinatayang 1,300 Filipino ang nasa Iran. Marami sa kanila ay mga propesyunal at nakapag-asawa ng mga Iranian national.",neutral,general,general,tagasenti,train_112
candidate_31593,Paano tayo mamamasyal kung pareho tayong butas ang bulsa bago mag-sweldo?,negative,general,general,tagasenti,train_113
candidate_17098,"Lord, kung sino man sa kanila, patnubayan mo. Nananalig akong maglilingkod nang tapat si Mar Roxas.",positive,general,general,tagasenti,train_114
candidate_34657,Bukas ang aklat ng kanyang mga karanasan na madalas niyang ibinabahagi sa tuwing may panayam.,neutral,general,general,tagasenti,train_115
candidate_12254,not recomended para sa mga may sensitive skin na kagaya ko. i don't know ha kasi gumagamit naman ako ng ganyan noon pero hindi sya mainit sa mata. yung ginamit ko sya mga 2 hours na ya nasa eye lashes ko and init nya na tas ambigat sa mata,negative,general,general,tagasenti,train_116
candidate_24374,"Enjoy ko ang way ni DeMille na nakakatawa yung inner monologue ng kanyang central character kaya kung pinatawa kayo nito, dapat basahin ang buong istorya.",positive,general,general,tagasenti,train_117
candidate_31836,Hindi siya sanay sa mga pang-araw-araw na gawaing bahay sapagkat laking-layaw siya mula pagkabata.,negative,general,general,tagasenti,train_118
candidate_33839,Gawa sa kahoy ang upuan na ginagamit niya.,neutral,general,general,tagasenti,train_119
candidate_4254,Ibang oras sana tayo umalis para hindi nakipagsiksikan.,negative,general,general,tagasenti,train_120
candidate_6744,"Hindi nag-flush ang toilet niyo pagkatapos kong gamitin, napaka-water conservative talaga ng plumbing system ng mall ninyo.",negative,general,general,tagasenti,train_121
candidate_10581,"Sa kabila nito, sinabi ni Padilla na noon pa man ay hindi na siya pabor sa pakikipagrelasyon ng kaibigan sa batang duktor na si Kho.",negative,general,general,tagasenti,train_122
candidate_9726,"worth it yung servings, yung crab soup lang parang sabaw ng pinakbet pero masarap",positive,general,general,tagasenti,train_123
candidate_32749,"Hindi ko sinasabing master ko na ito, pero mas gamay ko na yung proseso ngayon.",positive,general,general,tagasenti,train_124
candidate_14777,10/10 thankyou so much seller thankyou din kay rider dahil safe nakadating ang order ko and tama lahat sila thanks,positive,general,general,tagasenti,train_125
candidate_6468,sira ayaw gumana ng mouth piece hindi worth it. sira sya tapos ayaw pa ipa return test nyo muna paninda nyo bago iship . dapat no star sa product quality e . haaayyyyssstttt,negative,general,general,tagasenti,train_126
candidate_11494,very accomodating seller first buy sa shoppee so far quality is okay product has no damaged well packed and mabilis din ang delivery will feedback again para sa quality,positive,general,general,tagasenti,train_127
candidate_1741,iba yung nasa sample image sa mismong product pero ok naman amoy candy sulit naman yung 25 buti na lang free sf,neutral,general,general,tagasenti,train_128
candidate_12862,Hirit ng NP: Mga dati at kasalukuyang opisyal ni Arroyo pasok sa Noynoy gov't,neutral,general,general,tagasenti,train_129
candidate_5114,i m satisfied with the products kasya nman lahat and maganda yung item thank you kay seller mabilis yung delivery,positive,general,general,tagasenti,train_130
candidate_32185,Hindi ko maitatangging hindi talaga gumagana ang lahat ng sinubukan nating paraan.,negative,general,general,tagasenti,train_131
candidate_10156,okay naman. malaki at prang secured naman c baby. can’t wait na gamitin.,positive,general,general,tagasenti,train_132
candidate_13904,"Ang husay ng radar mo, sumulpot ka eksakto kung kailan nakaluwag-luwag na ako sa pera.",negative,general,general,tagasenti,train_133
candidate_34106,Nakalagay sa bulletin board ang schedule.,neutral,general,general,tagasenti,train_134
candidate_3337,"Binasag niyo ang plorera na binili ko habang ibinabalot, napaka-careful at maingat ng mga kamay ng staff niyo.",negative,general,general,tagasenti,train_135
candidate_26304,low quality kulang yung item na delivered mabagal magresponse si seller mahirap magrefund no no for the store,negative,general,general,tagasenti,train_136
candidate_305,": Huwag kalimutan ang criminal neglect nila Noy Aquino at Mar Roxas sa Yolanda victims - ""bahala kayo sa buhay nyo!""",negative,general,general,tagasenti,train_137
candidate_12126,"butas butas yung payong wag na kayo magpurchase dito . low quality masyado, manipis na nga , butas butas pa yung payong",negative,general,general,tagasenti,train_138
candidate_29969,Naayos na ang wifi natin matapos bisitahin ng technician.,positive,general,general,tagasenti,train_139
candidate_5103,1/10 wrong item delivered. gray/black ang order ko. seller ayusin nyo naman service nyo. kulang pa yung item na nareceived ko.,negative,general,general,tagasenti,train_140
candidate_30271,Hindi pwedeng hindi pumasa ang estudyanteng walang ginawa kundi mag-aral gabi-gabi para sa pagsusulit.,positive,general,general,tagasenti,train_141
candidate_18446,maling size wag kyong bumili dito. sinayang lang pera ko. anlinaw ng order ko size 28 pero ang pinadala paden size 24. pano masusuot ng anak ko to. ang hirap na nga kumita ng pera pambili makakatapat kapa ng gantong seller.,negative,general,general,tagasenti,train_142
candidate_6964,kumpleto po lahat ng order ko lage po ako omorder sa shop nato i recommend this shop complete walang damage thank you seller,positive,general,general,tagasenti,train_143
candidate_12825,Nagdala sana ako ng extrang damit.,negative,general,general,tagasenti,train_144
candidate_18782,ok naman ang service wala nga lang chicken oil lagi,neutral,general,general,tagasenti,train_145
candidate_29420,Kulang ang ibinigay na sahod dahil naubos sa mga kinaltas na bayarin.,negative,general,general,tagasenti,train_146
candidate_887,"thank you po seller, tama po lahat ng orders ko, ang bilis din po dumating.",positive,general,general,tagasenti,train_147
candidate_34163,"Hindi ibig sabihin na umalis ako ng maaga, tapos na ang lahat ng trabaho ko.",neutral,general,general,tagasenti,train_148
candidate_27993,"Binay visited the wake of former former mayor Louis Thomas Gonzaga of Danao town, Bohol at Rolling Hills Funeral Homes in Mandaue City, Cebu",neutral,general,general,tagasenti,train_149
candidate_9414,"Sa isinagawang awtopsiya ng National Bureau of Investigation, lumitaw na pinatay muna sila bago ginahasa, ayon sa ulat.",negative,general,general,tagasenti,train_150
candidate_19072,yong order ko d pariho nong sa pic na enorder ko d naman pala malaki,negative,general,general,tagasenti,train_151
candidate_12798,Makunat ang kendi kaya sumakit ang panga ko kakaharap dito.,neutral,general,general,tagasenti,train_152
candidate_17438,"Laging feeling fact ang opinion niya sa librong ito, at nakakainis dahil tinawag niya pa talagang best ang mga natalo sa history, walang kababaang-loob talaga.",negative,general,general,tagasenti,train_153
candidate_10040,Nilibot namin ang buong mall kahit window shopping lang ang ginawa.,neutral,general,general,tagasenti,train_154
candidate_30924,"Hindi ko naman sinasabing hindi ka nagtatrabaho nang maayos, baka lang pwede mo pang ayusin ang time management mo.",neutral,general,general,tagasenti,train_155
candidate_3107,Talagang hindi maaasahan ang signal ng network dito sa probinsya kahit kailan.,negative,general,general,tagasenti,train_156
candidate_10250,"Gidugang ni Dakay, ang public hearing magladlad lang sa mga kasayuran, apan ang resulta niini pabor gihapon sa petitioner.",negative,general,general,tagasenti,train_157
candidate_23405,thank you kay kuyang riders nakarating sa akin ng maayos ang item ko,positive,general,general,tagasenti,train_158
candidate_28204,"""Giila ang mga biktima nga sila Erwin Candia ug Jason Villanueva, parehong 18 anyos.""",negative,general,general,tagasenti,train_159
candidate_23674,Nakaka-inspire ang libro na binasa ko pero masyadong mahaba.,neutral,general,general,tagasenti,train_160
candidate_22360,okay maganda naman ung products... malambot sa paa. sakto lang ung inorder ko. though may konting dents.. pero hindi naman cguro makakasira un kase nasa gilid?? i think so. but still maganda parin... pede na for its price.,positive,general,general,tagasenti,train_161
candidate_3577,Si Mar Roxas ay natural na magaling at patuloy ang pagpapogi kahit walang camera.,positive,general,general,tagasenti,train_162
candidate_33039,"Sadyang nagkataon lang na naubusan tayo ng materyales, kaya naantala ang buong operasyon natin.",negative,general,general,tagasenti,train_163
candidate_4550,Kalit nga nibutho si Mayor Osmena sa picket line aron unta mopatiwa sa tensyon. - Balitang Bisdak,neutral,general,general,tagasenti,train_164
candidate_1797,items shipped immediately super well packaged ang daming bubble wrap excellent quality will order again,positive,general,general,tagasenti,train_165
candidate_28332,Sana all hindi tinatablan ng hiya kahit kitang-kita nang nakikinabang sa iba.,negative,general,general,tagasenti,train_166
candidate_12394,"Kag kasubong indikasyon sa plano nga paghatag sang ecc sa gbpc, ginpasalig sini ang gilayon ang pag-akto sa aplikasyon pagbalik gid niya sa Manila.",positive,general,general,tagasenti,train_167
candidate_25792,Maganda ang pagsisikap na maipakilala si Mar Roxas at Leni Robredo sa taumbayan.,positive,general,general,tagasenti,train_168
candidate_2124,"Ang nasabing pautang sa Quedancor ay pinamahalaan ng Land Bank, PCI-Equitable Bank, at ONL Consultancy.",neutral,general,general,tagasenti,train_169
candidate_10931,hala xa order ko po black bakit po iba kulay,negative,general,general,tagasenti,train_170
candidate_9316,"Naguumpisa na ang dayaan, wag kami Roxas. Kaya siguro kampante ka kasi didikit ka kay Duterte. Wag kami.",negative,general,general,tagasenti,train_171
candidate_5321,i'm really not expecting any good from Mar Roxas.,negative,general,general,tagasenti,train_172
candidate_2281,good ok naman kaso maliit ang large parang small size,neutral,general,general,tagasenti,train_173
candidate_3497,hindi sya kaamoy sa nabibili ko na ariana grande cloud haha pero pwde na. sana tumagal ang kapit ng amoy.,positive,general,general,tagasenti,train_174
candidate_33580,Kumita ang sari-sari store ko ng doble ngayong araw.,positive,general,general,tagasenti,train_175
candidate_23886,keme lang toh kakaorder ko lang last night pero naka order received n agad khit d pa nashiship out kaloka... bbigyan ka nila ng voucher code with no min.. spend tapos ang ending papaasahin k lang... hahahha gnun katigas mga mukha nila hahahaha,negative,general,general,tagasenti,train_176
candidate_10524,"Napakagandang puno nito! Bumili rin ako mula sa ibang seller pero ito ang tunay na maganda at healthy, plus great customer service kaya love ko.",positive,general,general,tagasenti,train_177
candidate_22145,": Binay vs Nikko, you'll never know. Nognog ?",neutral,general,general,tagasenti,train_178
candidate_34311,"Nasa gitna lang ang haba ng pelikula, hindi umabot ng tatlong oras pero buo naman ang kwento.",neutral,general,general,tagasenti,train_179
candidate_14100,"very dissapointed!!! iba ang style ng order ko pero iba ang dumating! ano nangyari??? hays! anyways,compy naman sya.malamang ibigay ko na lang sa alalay ko.salamat sa kuya rider.salamat shopee.",negative,general,general,tagasenti,train_180
candidate_29242,Buong magdamag kaming naghintay na bumalik ang tubig sa gripo.,negative,general,general,tagasenti,train_181
candidate_24427,May pumuna na hindi dapat ikumpara si Mar Roxas kay Noynoy.,neutral,general,general,tagasenti,train_182
candidate_14758,3 stars kasi yung isa may damage. pero yng isa ok naman walang crack. working din naman sya nag cha charge sya parehas. sad lang dahil ung isa medyo may umangat na part. yun lng. salamat pdn,positive,general,general,tagasenti,train_183
candidate_26547,good maganda yong mga item sakto sa dalaga ko yong slipper tapos yong wipes mabango yong mga item tama lahat walang kulang size color pag may promo order ulit slamat kay seller,positive,general,general,tagasenti,train_184
candidate_13291,so disappointed sira sira ung box nung item wala man lang bubble rap,negative,general,general,tagasenti,train_185
candidate_30161,Umabot ako sa punch in bago mag-time sa opisina.,positive,general,general,tagasenti,train_186
candidate_33131,"Pwede na rin sigurong gawin yan kung yan ang gusto niyo, susunod na lang ako sa flow ng grupo.",neutral,general,general,tagasenti,train_187
candidate_16489,"nice it was okay naman for it’s price i guess? mukha lang syang maluwag but ayos naman nung sinuot ko na, the only problem is manipis siya so yung foam niya sa gilid is medj naumbok pero overall okay lang !",positive,general,general,tagasenti,train_188
candidate_8814,ako ay may story sa inyo kasi nitong isang araw we tried to find some wipes sobrang dami tinunguhan dito lang nmn pala mapunta wala masyadong alcohol content salamat shopee,neutral,general,general,tagasenti,train_189
candidate_34773,Bawat donasyon ay nagmula sa mga taong may ginintuang puso at layuning maitaas ang kalidad ng edukasyon.,positive,general,general,tagasenti,train_190
candidate_789,"Sa karon, dili mohunong ang kapulisan hangtud dili mahatagan ug kahayag ang kamatayon ni Togle. - Testigo",neutral,general,general,tagasenti,train_191
