Feedback_ID,Student_ID,Faculty_ID,Subject_ID,Teaching,Communication,Practical,Notes,Interaction,Overall,Comment,Sentiment,Date
372,ST0561,F009,SUB003,4,4,4,3,3,4,Average teaching experience.,Neutral,2025-02-08
370,ST0822,F023,SUB024,3,4,3,4,3,3,Average teaching experience.,Neutral,2025-11-02
1554,ST0268,F024,SUB024,3,4,3,3,4,3,Average teaching experience.,Neutral,2025-04-22
3549,ST0777,F037,SUB028,3,4,3,4,3,3,Average teaching experience.,Neutral,2025-03-07
1572,ST0234,F017,SUB030,3,3,3,3,4,4,Average teaching experience.,Neutral,2025-12-31
3537,ST0752,F028,SUB005,4,4,4,4,4,4,Average teaching experience.,Neutral,2025-10-24
3533,ST0788,F031,SUB007,3,4,4,3,3,3,Average teaching experience.,Neutral,2025-01-10
4664,ST0312,F037,SUB014,4,4,4,3,3,3,Average teaching experience.,Neutral,2025-10-16
3525,ST0447,F015,SUB005,4,3,3,4,4,4,Average teaching experience.,Neutral,2025-03-16
345,ST0023,F036,SUB007,4,4,3,4,3,3,Average teaching experience.,Neutral,2025-03-10
1628,ST0392,F021,SUB017,4,3,4,4,3,3,Average teaching experience.,Neutral,2025-08-30
1630,ST0674,F026,SUB002,4,3,3,4,3,3,Average teaching experience.,Neutral,2025-05-08
1645,ST0030,F009,SUB014,3,3,3,4,4,3,Average teaching experience.,Neutral,2025-11-14
1651,ST0581,F012,SUB002,3,3,3,4,3,3,Average teaching experience.,Neutral,2025-11-01
1665,ST0089,F037,SUB016,3,4,3,3,3,3,Average teaching experience.,Neutral,2025-01-17
3513,ST0628,F034,SUB011,3,3,3,4,3,4,Average teaching experience.,Neutral,2025-09-26
1680,ST0981,F009,SUB014,3,3,4,4,4,4,Average teaching experience.,Neutral,2025-02-01
3494,ST0345,F019,SUB006,4,4,4,4,3,4,Average teaching experience.,Neutral,2025-07-18
1516,ST0629,F040,SUB005,4,4,3,4,3,4,Average teaching experience.,Neutral,2025-04-05
272,ST0527,F005,SUB025,3,4,4,3,4,3,Average teaching experience.,Neutral,2025-05-30
3398,ST0181,F035,SUB014,4,3,4,3,4,3,Average teaching experience.,Neutral,2025-07-15
2152,ST0256,F024,SUB019,3,4,3,3,4,4,Average teaching experience.,Neutral,2025-02-26
3320,ST0065,F017,SUB025,3,3,3,4,4,4,Average teaching experience.,Neutral,2025-06-16
2166,ST0744,F026,SUB029,3,3,4,4,4,4,Average teaching experience.,Neutral,2025-03-28
2180,ST0849,F037,SUB017,4,4,4,3,3,3,Average teaching experience.,Neutral,2025-12-20
4325,ST0851,F009,SUB002,4,4,3,3,3,4,Average teaching experience.,Neutral,2025-10-13
4329,ST0076,F029,SUB013,4,4,3,4,4,3,Average teaching experience.,Neutral,2025-04-15
2210,ST0712,F003,SUB012,4,3,4,4,3,4,Average teaching experience.,Neutral,2025-06-21
199,ST0800,F031,SUB022,4,3,4,3,3,3,Average teaching experience.,Neutral,2025-07-19
2219,ST0429,F040,SUB022,3,3,3,4,4,3,Average teaching experience.,Neutral,2025-12-28
194,ST0400,F034,SUB030,3,3,3,4,4,4,Average teaching experience.,Neutral,2025-09-15
2242,ST0511,F001,SUB002,4,3,4,4,4,3,Average teaching experience.,Neutral,2025-11-16
2259,ST0576,F009,SUB011,4,4,3,3,3,3,Average teaching experience.,Neutral,2025-07-26
2273,ST0138,F015,SUB005,3,4,3,4,3,3,Average teaching experience.,Neutral,2025-03-08
4537,ST0904,F008,SUB007,3,4,4,3,4,3,Average teaching experience.,Neutral,2025-01-22
4946,ST0455,F028,SUB004,3,3,4,4,4,4,Average teaching experience.,Neutral,2025-07-13
2295,ST0123,F015,SUB011,3,3,4,3,4,3,Average teaching experience.,Neutral,2025-12-29
174,ST0927,F019,SUB018,3,4,4,4,4,3,Average teaching experience.,Neutral,2025-09-07
3328,ST0743,F022,SUB002,3,4,4,3,3,3,Average teaching experience.,Neutral,2025-02-10
1938,ST0716,F039,SUB014,3,4,4,4,3,3,Average teaching experience.,Neutral,2025-10-30
2143,ST0586,F014,SUB022,3,4,3,3,3,3,Average teaching experience.,Neutral,2025-11-16
3329,ST0758,F007,SUB023,4,3,3,3,4,4,Average teaching experience.,Neutral,2025-09-02
1952,ST0290,F024,SUB005,4,4,4,3,3,3,Average teaching experience.,Neutral,2025-09-17
1975,ST0589,F016,SUB013,3,3,4,4,3,3,Average teaching experience.,Neutral,2025-11-07
1990,ST0418,F030,SUB016,4,4,3,3,3,3,Average teaching experience.,Neutral,2025-04-15
4056,ST0025,F001,SUB007,4,4,3,3,3,3,Average teaching experience.,Neutral,2025-06-09
4585,ST0707,F019,SUB022,4,4,3,4,3,3,Average teaching experience.,Neutral,2025-02-04
2010,ST0207,F019,SUB020,4,3,3,3,4,3,Average teaching experience.,Neutral,2025-07-07
4583,ST0404,F006,SUB012,4,4,4,4,3,3,Average teaching experience.,Neutral,2025-05-30
3374,ST0171,F013,SUB030,4,3,4,3,3,3,Average teaching experience.,Neutral,2025-08-03
246,ST0605,F014,SUB004,3,4,3,4,4,4,Average teaching experience.,Neutral,2025-02-17
2032,ST0477,F001,SUB011,3,4,4,3,3,4,Average teaching experience.,Neutral,2025-04-03
239,ST0498,F025,SUB001,3,4,4,3,3,4,Average teaching experience.,Neutral,2025-03-28
4573,ST0104,F027,SUB002,3,3,4,4,3,3,Average teaching experience.,Neutral,2025-08-09
2105,ST0020,F006,SUB030,3,3,3,3,3,4,Average teaching experience.,Neutral,2025-07-18
232,ST0980,F034,SUB006,4,3,3,4,3,3,Average teaching experience.,Neutral,2025-12-04
3336,ST0078,F013,SUB008,3,3,3,3,4,3,Average teaching experience.,Neutral,2025-11-01
2126,ST0806,F007,SUB025,3,3,3,3,3,4,Average teaching experience.,Neutral,2025-01-22
2134,ST0180,F003,SUB012,3,4,3,4,3,3,Average teaching experience.,Neutral,2025-01-13
2140,ST0696,F025,SUB021,4,4,4,3,3,4,Average teaching experience.,Neutral,2025-07-20
375,ST0828,F009,SUB007,3,4,4,3,3,3,Average teaching experience.,Neutral,2025-11-08
1486,ST0097,F020,SUB027,3,4,4,4,4,4,Average teaching experience.,Neutral,2025-05-27
1484,ST0428,F038,SUB009,4,4,3,4,4,4,Average teaching experience.,Neutral,2025-02-24
4795,ST0937,F021,SUB025,3,3,3,4,3,3,Average teaching experience.,Neutral,2025-01-30
878,ST0757,F001,SUB023,4,3,3,3,3,3,Average teaching experience.,Neutral,2025-10-27
3813,ST0023,F030,SUB030,4,4,3,4,4,3,Average teaching experience.,Neutral,2025-02-23
885,ST0706,F020,SUB026,4,4,3,4,4,4,Average teaching experience.,Neutral,2025-05-25
4790,ST0792,F017,SUB029,3,4,3,3,3,4,Average teaching experience.,Neutral,2025-04-18
902,ST0822,F035,SUB026,4,4,4,3,4,4,Average teaching experience.,Neutral,2025-10-07
4786,ST0664,F014,SUB010,4,4,3,4,4,4,Average teaching experience.,Neutral,2025-07-27
919,ST0815,F035,SUB003,3,4,4,4,4,3,Average teaching experience.,Neutral,2025-08-26
928,ST0597,F009,SUB002,3,4,3,4,4,4,Average teaching experience.,Neutral,2025-07-25
523,ST0884,F038,SUB021,4,4,4,4,4,4,Average teaching experience.,Neutral,2025-09-25
3782,ST0333,F005,SUB005,4,3,3,4,3,3,Average teaching experience.,Neutral,2025-11-25
986,ST0058,F028,SUB018,4,4,3,3,3,3,Average teaching experience.,Neutral,2025-12-17
1002,ST0179,F033,SUB017,3,3,4,4,4,4,Average teaching experience.,Neutral,2025-05-21
1011,ST0191,F021,SUB013,3,4,4,3,3,3,Average teaching experience.,Neutral,2025-08-20
1026,ST0293,F013,SUB021,4,3,3,3,4,3,Average teaching experience.,Neutral,2025-05-03
4762,ST0888,F010,SUB020,3,3,4,4,3,4,Average teaching experience.,Neutral,2025-05-23
1033,ST0792,F008,SUB013,4,3,4,4,4,3,Average teaching experience.,Neutral,2025-04-24
870,ST0302,F020,SUB026,4,4,3,4,4,4,Average teaching experience.,Neutral,2025-02-21
3738,ST0167,F003,SUB002,4,4,3,4,3,4,Average teaching experience.,Neutral,2025-05-04
862,ST0458,F002,SUB028,4,4,4,4,4,4,Average teaching experience.,Neutral,2025-10-11
845,ST0450,F039,SUB022,4,4,3,3,4,4,Average teaching experience.,Neutral,2025-09-05
647,ST0283,F016,SUB019,4,4,4,3,3,3,Average teaching experience.,Neutral,2025-02-18
3930,ST0807,F011,SUB027,3,4,4,3,4,4,Average teaching experience.,Neutral,2025-08-08
3911,ST0305,F026,SUB013,3,4,3,4,3,3,Average teaching experience.,Neutral,2025-02-02
674,ST0898,F012,SUB015,4,4,3,3,4,3,Average teaching experience.,Neutral,2025-02-22
703,ST0638,F030,SUB025,3,3,4,4,4,3,Average teaching experience.,Neutral,2025-02-14
3895,ST0445,F006,SUB009,3,4,3,4,4,4,Average teaching experience.,Neutral,2025-08-16
723,ST0150,F004,SUB022,4,3,4,4,3,4,Average teaching experience.,Neutral,2025-03-07
4829,ST0334,F003,SUB006,4,4,4,4,3,3,Average teaching experience.,Neutral,2025-11-07
3889,ST0550,F040,SUB012,4,3,3,4,3,3,Average teaching experience.,Neutral,2025-10-31
732,ST0404,F018,SUB021,4,3,4,3,3,3,Average teaching experience.,Neutral,2025-07-19
752,ST0522,F035,SUB019,3,3,3,3,4,3,Average teaching experience.,Neutral,2025-10-28
779,ST0086,F023,SUB030,3,3,4,4,3,4,Average teaching experience.,Neutral,2025-09-05
3859,ST0635,F019,SUB028,3,3,3,3,4,4,Average teaching experience.,Neutral,2025-01-26
797,ST0629,F012,SUB027,3,4,3,3,4,4,Average teaching experience.,Neutral,2025-08-07
3837,ST0357,F005,SUB008,3,3,4,4,3,4,Average teaching experience.,Neutral,2025-11-19
828,ST0308,F015,SUB026,4,4,4,4,4,3,Average teaching experience.,Neutral,2025-09-26
3835,ST0264,F012,SUB013,3,4,3,3,3,3,Average teaching experience.,Neutral,2025-04-03
548,ST0005,F016,SUB028,3,3,3,3,3,4,Average teaching experience.,Neutral,2025-05-19
499,ST0324,F010,SUB005,3,3,3,3,4,3,Average teaching experience.,Neutral,2025-08-10
1081,ST0431,F013,SUB015,4,4,4,4,4,4,Average teaching experience.,Neutral,2025-07-25
1084,ST0733,F024,SUB021,3,4,4,4,3,4,Average teaching experience.,Neutral,2025-03-23
3627,ST0174,F007,SUB019,4,3,4,4,4,3,Average teaching experience.,Neutral,2025-02-27
1349,ST0466,F024,SUB022,3,4,3,3,4,3,Average teaching experience.,Neutral,2025-09-05
1385,ST0171,F014,SUB013,4,4,4,4,4,4,Average teaching experience.,Neutral,2025-08-05
4271,ST0477,F008,SUB013,3,3,3,4,3,3,Average teaching experience.,Neutral,2025-03-08
1396,ST0512,F005,SUB016,4,3,3,3,4,4,Average teaching experience.,Neutral,2025-10-04
1402,ST0416,F011,SUB017,3,3,4,4,4,4,Average teaching experience.,Neutral,2025-05-24
1406,ST0702,F026,SUB002,4,4,3,3,3,3,Average teaching experience.,Neutral,2025-08-08
3601,ST0894,F010,SUB025,3,4,3,4,3,4,Average teaching experience.,Neutral,2025-05-02
3594,ST0833,F036,SUB027,4,3,3,4,4,4,Average teaching experience.,Neutral,2025-06-30
4183,ST0149,F023,SUB008,3,4,3,3,3,3,Average teaching experience.,Neutral,2025-10-11
1432,ST0768,F003,SUB007,3,4,3,4,4,4,Average teaching experience.,Neutral,2025-01-31
4274,ST0794,F026,SUB015,3,3,3,3,4,3,Average teaching experience.,Neutral,2025-05-29
1449,ST0971,F028,SUB014,3,4,4,3,3,4,Average teaching experience.,Neutral,2025-02-26
1452,ST0671,F018,SUB028,3,4,3,4,3,4,Average teaching experience.,Neutral,2025-11-13
3588,ST0113,F013,SUB007,3,4,3,3,3,4,Average teaching experience.,Neutral,2025-05-20
1459,ST0114,F008,SUB021,3,3,4,3,4,3,Average teaching experience.,Neutral,2025-10-03
1463,ST0659,F003,SUB016,4,3,3,3,3,3,Average teaching experience.,Neutral,2025-01-02
1336,ST0216,F029,SUB006,3,3,4,4,3,4,Average teaching experience.,Neutral,2025-11-14
3634,ST0271,F011,SUB010,3,4,4,4,4,4,Average teaching experience.,Neutral,2025-09-17
1322,ST0247,F025,SUB026,3,3,3,4,3,4,Average teaching experience.,Neutral,2025-10-29
1307,ST0345,F025,SUB008,4,3,3,4,3,4,Average teaching experience.,Neutral,2025-12-29
1091,ST0362,F019,SUB021,4,4,4,4,3,3,Average teaching experience.,Neutral,2025-12-20
1093,ST0477,F008,SUB015,4,4,4,3,4,3,Average teaching experience.,Neutral,2025-12-29
486,ST0111,F003,SUB017,4,4,3,4,3,3,Average teaching experience.,Neutral,2025-11-30
1110,ST0672,F033,SUB005,4,4,4,3,4,4,Average teaching experience.,Neutral,2025-10-20
1118,ST0673,F008,SUB008,4,4,3,4,3,3,Average teaching experience.,Neutral,2025-09-19
1119,ST0219,F026,SUB005,4,3,4,3,3,4,Average teaching experience.,Neutral,2025-09-09
3715,ST0197,F009,SUB021,3,3,4,3,3,3,Average teaching experience.,Neutral,2025-11-10
1174,ST0192,F035,SUB011,3,4,4,3,3,4,Average teaching experience.,Neutral,2025-07-08
2302,ST0269,F037,SUB010,3,3,3,4,4,4,Average teaching experience.,Neutral,2025-12-13
1175,ST0066,F001,SUB028,3,4,4,3,4,3,Average teaching experience.,Neutral,2025-01-17
1183,ST0660,F012,SUB027,3,4,3,3,4,3,Average teaching experience.,Neutral,2025-03-11
1186,ST0955,F002,SUB015,4,3,4,3,4,3,Average teaching experience.,Neutral,2025-03-14
1203,ST0150,F010,SUB028,4,3,3,4,3,3,Average teaching experience.,Neutral,2025-06-21
1228,ST0523,F030,SUB006,4,3,4,3,3,3,Average teaching experience.,Neutral,2025-05-31
4246,ST0257,F034,SUB015,4,4,3,3,4,3,Average teaching experience.,Neutral,2025-04-19
3671,ST0780,F009,SUB021,4,4,4,4,3,3,Average teaching experience.,Neutral,2025-07-08
4713,ST0481,F010,SUB003,3,4,3,3,4,3,Average teaching experience.,Neutral,2025-01-16
1299,ST0889,F030,SUB002,3,4,4,3,4,3,Average teaching experience.,Neutral,2025-01-28
1178,ST0897,F010,SUB008,3,3,3,3,4,3,Average teaching experience.,Neutral,2025-09-29
2315,ST0667,F039,SUB010,3,4,4,3,3,4,Average teaching experience.,Neutral,2025-12-07
4852,ST0977,F001,SUB022,3,3,3,4,3,4,Average teaching experience.,Neutral,2025-09-17
4452,ST0897,F026,SUB016,3,3,3,4,3,3,Average teaching experience.,Neutral,2025-03-11
4356,ST0765,F033,SUB003,4,3,4,4,3,3,Average teaching experience.,Neutral,2025-03-18
28,ST0754,F009,SUB018,4,3,3,4,3,4,Average teaching experience.,Neutral,2025-11-09
4429,ST0796,F029,SUB022,3,3,3,4,3,4,Average teaching experience.,Neutral,2025-05-17
2418,ST0592,F009,SUB028,4,3,3,4,4,4,Average teaching experience.,Neutral,2025-08-04
2625,ST0229,F012,SUB015,4,4,3,4,3,3,Average teaching experience.,Neutral,2025-03-20
4136,ST0141,F039,SUB012,4,3,3,3,3,3,Average teaching experience.,Neutral,2025-12-31
2759,ST0779,F018,SUB024,3,4,3,4,3,3,Average teaching experience.,Neutral,2025-07-23
3104,ST0639,F017,SUB006,3,4,4,3,4,4,Average teaching experience.,Neutral,2025-03-13
99,ST0763,F004,SUB021,3,3,4,3,4,4,Average teaching experience.,Neutral,2025-10-24
3128,ST0964,F021,SUB006,3,4,4,3,3,4,Average teaching experience.,Neutral,2025-08-29
146,ST0685,F007,SUB006,4,4,3,3,3,3,Average teaching experience.,Neutral,2025-08-14
147,ST0335,F013,SUB018,3,4,3,4,4,4,Average teaching experience.,Neutral,2025-04-13
2751,ST0486,F028,SUB022,3,4,3,4,4,3,Average teaching experience.,Neutral,2025-12-31
2952,ST0830,F007,SUB008,3,4,3,3,3,3,Average teaching experience.,Neutral,2025-04-22
4106,ST0827,F012,SUB028,4,4,4,4,3,4,Average teaching experience.,Neutral,2025-05-19
2956,ST0112,F022,SUB026,3,4,3,4,4,3,Average teaching experience.,Neutral,2025-09-16
4081,ST0589,F038,SUB030,3,3,3,3,3,4,Average teaching experience.,Neutral,2025-01-13
3220,ST0499,F028,SUB002,3,4,3,4,3,4,Average teaching experience.,Neutral,2025-12-15
2606,ST0777,F020,SUB009,3,4,4,4,4,3,Average teaching experience.,Neutral,2025-06-05
2422,ST0969,F036,SUB028,3,4,3,3,4,4,Average teaching experience.,Neutral,2025-05-24
3152,ST0677,F034,SUB012,3,3,3,4,3,3,Average teaching experience.,Neutral,2025-06-01
3084,ST0042,F027,SUB012,3,4,3,3,3,3,Average teaching experience.,Neutral,2025-10-07
2798,ST0923,F039,SUB011,4,4,4,4,4,3,Average teaching experience.,Neutral,2025-01-02
3083,ST0928,F020,SUB017,3,3,3,3,4,4,Average teaching experience.,Neutral,2025-03-26
2506,ST0310,F013,SUB022,4,3,4,4,4,4,Average teaching experience.,Neutral,2025-06-29
4137,ST0661,F003,SUB028,4,4,4,3,4,3,Average teaching experience.,Neutral,2025-05-09
3077,ST0251,F033,SUB016,4,3,4,3,4,3,Average teaching experience.,Neutral,2025-06-14
123,ST0092,F037,SUB002,4,3,3,4,3,4,Average teaching experience.,Neutral,2025-07-15
39,ST0546,F018,SUB016,3,4,4,4,4,3,Average teaching experience.,Neutral,2025-11-21
2377,ST0441,F039,SUB011,3,4,4,3,3,3,Average teaching experience.,Neutral,2025-01-01
2477,ST0847,F017,SUB012,4,4,3,3,4,4,Average teaching experience.,Neutral,2025-10-31
38,ST0796,F019,SUB028,3,4,3,3,3,3,Average teaching experience.,Neutral,2025-10-04
4139,ST0233,F013,SUB003,3,3,4,4,4,3,Average teaching experience.,Neutral,2025-02-02
129,ST0428,F013,SUB026,3,3,3,3,3,4,Average teaching experience.,Neutral,2025-03-30
55,ST0091,F016,SUB017,4,3,3,3,4,3,Average teaching experience.,Neutral,2025-07-06
2568,ST0389,F015,SUB021,4,3,4,3,4,4,Average teaching experience.,Neutral,2025-10-25
2850,ST0551,F003,SUB021,3,4,4,4,3,4,Average teaching experience.,Neutral,2025-12-24
2781,ST0597,F015,SUB005,3,4,3,3,4,4,Average teaching experience.,Neutral,2025-06-08
2426,ST0019,F039,SUB019,4,4,4,4,4,3,Average teaching experience.,Neutral,2025-04-12
2475,ST0479,F012,SUB007,4,3,3,4,4,4,Average teaching experience.,Neutral,2025-06-12
4435,ST0410,F029,SUB010,3,3,3,4,3,4,Average teaching experience.,Neutral,2025-08-30
21,ST0780,F039,SUB004,4,3,3,3,3,4,Average teaching experience.,Neutral,2025-12-29
48,ST0831,F011,SUB020,3,4,3,3,4,4,Average teaching experience.,Neutral,2025-10-21
2680,ST0801,F015,SUB015,4,3,3,3,4,3,Average teaching experience.,Neutral,2025-02-12
4529,ST0730,F035,SUB011,3,4,4,4,3,3,Average teaching experience.,Neutral,2025-10-23
2716,ST0589,F011,SUB004,4,4,4,3,3,3,Average teaching experience.,Neutral,2025-06-24
2339,ST0952,F006,SUB024,4,4,3,4,3,3,Average teaching experience.,Neutral,2025-05-27
2723,ST0946,F001,SUB025,4,4,3,4,4,4,Average teaching experience.,Neutral,2025-07-15
2346,ST0637,F021,SUB019,3,4,4,3,4,4,Average teaching experience.,Neutral,2025-07-14
74,ST0550,F018,SUB023,4,4,4,3,4,4,Average teaching experience.,Neutral,2025-09-20
3010,ST0816,F008,SUB009,4,4,4,4,3,3,Average teaching experience.,Neutral,2025-12-05
2692,ST0301,F006,SUB028,4,3,3,4,3,3,Average teaching experience.,Neutral,2025-11-08
2337,ST0677,F036,SUB023,4,3,3,4,3,3,Average teaching experience.,Neutral,2025-01-14
3006,ST0303,F013,SUB008,4,3,3,4,4,3,Average teaching experience.,Neutral,2025-03-08
2,ST0368,F029,SUB025,3,3,3,4,3,4,Average teaching experience.,Neutral,2025-06-13
3250,ST0561,F012,SUB005,3,3,3,3,4,3,Average teaching experience.,Neutral,2025-10-23
2971,ST0950,F004,SUB004,4,3,4,3,3,4,Average teaching experience.,Neutral,2025-02-16
2972,ST0146,F003,SUB004,3,3,3,4,3,3,Average teaching experience.,Neutral,2025-10-15
2335,ST0342,F015,SUB016,4,4,4,3,4,3,Average teaching experience.,Neutral,2025-11-28
2318,ST0013,F005,SUB006,3,3,3,4,4,3,Average teaching experience.,Neutral,2025-03-10
2734,ST0790,F038,SUB014,4,3,4,3,4,3,Average teaching experience.,Neutral,2025-07-06
2374,ST0239,F006,SUB025,4,4,3,3,4,3,Average teaching experience.,Neutral,2025-05-08
4460,ST0210,F013,SUB013,4,3,3,3,3,4,Average teaching experience.,Neutral,2025-12-04
4384,ST0827,F027,SUB027,3,4,3,4,3,4,Average teaching experience.,Neutral,2025-08-09
2990,ST0716,F024,SUB012,4,4,3,3,4,4,Average teaching experience.,Neutral,2025-01-04
2732,ST0142,F008,SUB021,3,4,4,3,4,3,Average teaching experience.,Neutral,2025-01-08
1122,ST0963,F020,SUB026,4,3,3,3,3,4,Can improve interaction.,Neutral,2025-07-20
4727,ST0657,F038,SUB003,4,3,4,4,4,4,Can improve interaction.,Neutral,2025-08-05
1127,ST0122,F026,SUB007,4,4,4,4,3,3,Can improve interaction.,Neutral,2025-10-26
1451,ST0539,F001,SUB016,4,3,3,3,4,3,Can improve interaction.,Neutral,2025-12-13
459,ST0366,F039,SUB021,3,4,3,4,3,3,Can improve interaction.,Neutral,2025-11-11
4134,ST0657,F008,SUB027,3,4,3,3,3,3,Can improve interaction.,Neutral,2025-05-31
2317,ST0160,F020,SUB011,3,3,3,4,3,3,Can improve interaction.,Neutral,2025-02-05
4008,ST0633,F040,SUB024,4,3,3,3,3,4,Can improve interaction.,Neutral,2025-06-27
3699,ST0349,F017,SUB003,3,4,4,4,3,3,Can improve interaction.,Neutral,2025-09-24
469,ST0309,F022,SUB024,4,4,4,3,3,4,Can improve interaction.,Neutral,2025-05-08
1138,ST0043,F007,SUB013,3,3,4,3,4,4,Can improve interaction.,Neutral,2025-07-01
1467,ST0312,F030,SUB011,4,3,3,3,3,4,Can improve interaction.,Neutral,2025-11-12
4111,ST0856,F036,SUB022,4,3,3,4,4,4,Can improve interaction.,Neutral,2025-04-28
3705,ST0087,F030,SUB021,3,3,4,3,4,4,Can improve interaction.,Neutral,2025-07-12
4275,ST0848,F024,SUB004,3,4,4,4,4,3,Can improve interaction.,Neutral,2025-07-06
3586,ST0917,F011,SUB008,3,4,4,3,3,4,Can improve interaction.,Neutral,2025-07-02
3978,ST0055,F035,SUB027,4,4,4,3,3,4,Can improve interaction.,Neutral,2025-02-25
1131,ST0983,F006,SUB010,4,4,3,3,3,3,Can improve interaction.,Neutral,2025-06-03
2796,ST0447,F022,SUB030,3,3,4,3,4,3,Can improve interaction.,Neutral,2025-01-20
4729,ST0878,F040,SUB029,4,4,4,3,3,3,Can improve interaction.,Neutral,2025-01-26
1155,ST0803,F003,SUB013,4,4,4,3,3,3,Can improve interaction.,Neutral,2025-08-04
4723,ST0240,F010,SUB011,3,4,3,4,3,3,Can improve interaction.,Neutral,2025-07-27
468,ST0057,F011,SUB001,4,4,4,4,3,3,Can improve interaction.,Neutral,2025-03-05
462,ST0593,F020,SUB009,3,4,4,4,3,4,Can improve interaction.,Neutral,2025-11-03
1398,ST0834,F024,SUB019,3,3,4,3,4,4,Can improve interaction.,Neutral,2025-01-07
1207,ST0140,F007,SUB025,3,4,4,3,3,3,Can improve interaction.,Neutral,2025-04-14
4693,ST0545,F017,SUB012,3,3,3,3,4,4,Can improve interaction.,Neutral,2025-02-22
1404,ST0383,F024,SUB018,4,4,3,4,3,3,Can improve interaction.,Neutral,2025-09-02
2749,ST0642,F009,SUB008,3,4,3,4,3,4,Can improve interaction.,Neutral,2025-12-20
3999,ST0454,F016,SUB022,3,3,4,4,3,4,Can improve interaction.,Neutral,2025-08-05
4001,ST0779,F006,SUB027,4,4,3,3,3,3,Can improve interaction.,Neutral,2025-02-03
1382,ST0858,F003,SUB003,4,4,3,4,4,4,Can improve interaction.,Neutral,2025-06-14
1371,ST0483,F031,SUB030,3,4,3,4,4,3,Can improve interaction.,Neutral,2025-11-05
1366,ST0644,F014,SUB022,3,3,3,3,3,3,Can improve interaction.,Neutral,2025-06-26
422,ST0123,F028,SUB023,4,3,3,4,3,4,Can improve interaction.,Neutral,2025-12-22
4002,ST0208,F020,SUB006,3,4,4,4,4,4,Can improve interaction.,Neutral,2025-08-03
4123,ST0653,F030,SUB019,4,3,4,3,4,4,Can improve interaction.,Neutral,2025-08-25
3598,ST0501,F034,SUB014,3,4,4,3,4,3,Can improve interaction.,Neutral,2025-06-05
1333,ST0872,F019,SUB010,3,4,3,3,4,3,Can improve interaction.,Neutral,2025-02-05
4263,ST0574,F008,SUB030,4,4,3,4,3,3,Can improve interaction.,Neutral,2025-02-19
2784,ST0196,F013,SUB021,4,3,4,4,4,3,Can improve interaction.,Neutral,2025-02-07
3102,ST0684,F027,SUB027,3,3,3,3,3,4,Can improve interaction.,Neutral,2025-10-25
4003,ST0493,F014,SUB028,4,3,3,4,3,3,Can improve interaction.,Neutral,2025-02-17
402,ST0519,F017,SUB014,4,4,4,4,3,3,Can improve interaction.,Neutral,2025-05-31
1321,ST0918,F019,SUB024,3,3,4,4,4,4,Can improve interaction.,Neutral,2025-10-28
4704,ST0354,F019,SUB006,3,3,3,4,3,3,Can improve interaction.,Neutral,2025-12-22
1315,ST0291,F033,SUB015,3,4,4,4,4,3,Can improve interaction.,Neutral,2025-04-08
1311,ST0510,F019,SUB030,4,3,3,3,3,4,Can improve interaction.,Neutral,2025-05-08
