text,sentiment
di siya kasya sa asawa ko i ordered xxl pinadala may tag na xxl pero ang size sa loob l makikita sa pic na inaupload ko di ko na nakunan ung tag dahil now ko lang napansin maganda nmn un lang iba size sana sa susunod na check maigi nag,positive
di siya kasya sa asawa ko i ordered xxl pinadala may tag na xxl pero ang size sa loob l makikita sa pic na inaupload ko di ko na nakunan ung tag dahil now ko lang napansin maganda nmn un lang iba size sana sa susunod na check maigi nag,neutral
dumating na po cute sana kaso sira yong isa hindi omilaw hindi rin mag charge,positive
dumating na po cute sana kaso sira yong isa hindi omilaw hindi rin mag charge,neutral
edit ko comment ko ulit kac ok nmn pala siya nag download nlang ako ytkids kac ung utube nya d tlaga nagana,positive
edit ko comment ko ulit kac ok nmn pala siya nag download nlang ako ytkids kac ung utube nya d tlaga nagana,neutral
expect ko makapal ung parang my takong peo hnd pala tpos my stain pa na black,positive
expect ko makapal ung parang my takong peo hnd pala tpos my stain pa na black,neutral
expect the unexpected syempre sa presyu d orig pero gumagana hope tatagal saka black order blue pinadala no choice na ty,positive
expect the unexpected syempre sa presyu d orig pero gumagana hope tatagal saka black order blue pinadala no choice na ty,neutral
feeling ko isang hanginan lang to di masyado quality cute lng sya pero hndi sya advisable sa malakas na ulan at hangin pang init lang sya,neutral
feeling ko isang hanginan lang to di masyado quality cute lng sya pero hndi sya advisable sa malakas na ulan at hangin pang init lang sya,positive
for me maganda siya nakita ko lang siya sa ibang apps na ito ang suot at inorfer ko kasi may voucher at free shipping pa noon dba,neutral
for me maganda siya nakita ko lang siya sa ibang apps na ito ang suot at inorfer ko kasi may voucher at free shipping pa noon dba,positive
forda buy kayo ng sarili niyong seafood kase mahal sa pag sa mismong restaurant na mangagagaling,positive
forda buy kayo ng sarili niyong seafood kase mahal sa pag sa mismong restaurant na mangagagaling,neutral
ganda po sana kaso magka iba size panu ko po to mgamit hahaha excited pa nmn ako haysssss nkamura mn nga ganito nmn nrcv ko hahaha,neutral
ganda po sana kaso magka iba size panu ko po to mgamit hahaha excited pa nmn ako haysssss nkamura mn nga ganito nmn nrcv ko hahaha,positive
good ang ganda niya as in kaso yung box sira sira nung dumating kala ko nga nasira na yung laman sa loob also yung isa walang charger plus yung white mahina siya compare sa pink na order ko pero overall goods naman,neutral
good ang ganda niya as in kaso yung box sira sira nung dumating kala ko nga nasira na yung laman sa loob also yung isa walang charger plus yung white mahina siya compare sa pink na order ko pero overall goods naman,positive
good ang kulay not good too ka nga plastic ung lense,neutral
good ang kulay not good too ka nga plastic ung lense,positive
good condition mabilis shipped item is secure and complete although maganda ung item sorry ang bilis nya tlga m lowbat wala 2 hrs gamit pag manonood ng video lowbat agad kahit mabilis m full charge hirap pag need lagi i charge ibrought this to my son para mapanooran nya kaso,neutral
good condition mabilis shipped item is secure and complete although maganda ung item sorry ang bilis nya tlga m lowbat wala 2 hrs gamit pag manonood ng video lowbat agad kahit mabilis m full charge hirap pag need lagi i charge ibrought this to my son para mapanooran nya kaso,positive
good na goods maganda siya pero d medyo maliit pala siya kala ko malaki laki pero goods siya maganda pagka bubble wrap i mean maayos best feature para sakin yung touch function bayan kaso mahirap parang late react or d ko pa ata makapa,positive
good na goods maganda siya pero d medyo maliit pala siya kala ko malaki laki pero goods siya maganda pagka bubble wrap i mean maayos best feature para sakin yung touch function bayan kaso mahirap parang late react or d ko pa ata makapa,neutral
good ordered received thanks to seller maganda po yung item working naman yung pag kapack lng sablay wlng bubblewrap nayupi ung box buti d na damage yung item hay slmt po uli,neutral
good ordered received thanks to seller maganda po yung item working naman yung pag kapack lng sablay wlng bubblewrap nayupi ung box buti d na damage yung item hay slmt po uli,positive
good recieved my order thank you seller for fast delivery maganda sya kaso wrong color ang narecieved ko thank you shopee at kay kuya ngdeliver,neutral
good recieved my order thank you seller for fast delivery maganda sya kaso wrong color ang narecieved ko thank you shopee at kay kuya ngdeliver,positive
goods and cutie naman kaso may isang clip na may damage,positive
goods and cutie naman kaso may isang clip na may damage,neutral
goods nadissappoint lang ako kasi gusto ko talaga brown pero dumating black wit na wit pero keri naden wala na magagawa ayun na binigay ni seller ehh,positive
goods nadissappoint lang ako kasi gusto ko talaga brown pero dumating black wit na wit pero keri naden wala na magagawa ayun na binigay ni seller ehh,neutral
goods nmm sya akala koden may gift wala pala pero thanks paden sa shop ganda nya,neutral
goods nmm sya akala koden may gift wala pala pero thanks paden sa shop ganda nya,positive
great maganda naman ang quality and mabilis madeliver kaso semi madumi yung ibang parts pero okay lang din naman,neutral
great maganda naman ang quality and mabilis madeliver kaso semi madumi yung ibang parts pero okay lang din naman,positive
hello okay naman yung phone pero maling color yung dinelver sayang gusto pa naman ng gagamit is red pero no choice na oks naman yung product,positive
hello okay naman yung phone pero maling color yung dinelver sayang gusto pa naman ng gagamit is red pero no choice na oks naman yung product,neutral
hindi gaanong malakas yung hangin but for its price and maliit lang sya kaya okay naman na,neutral
hindi gaanong malakas yung hangin but for its price and maliit lang sya kaya okay naman na,positive
hindi ganon katibay as expected pero aside from that nag wowork naman yung cooling fan at very worth it sa price,positive
hindi ganon katibay as expected pero aside from that nag wowork naman yung cooling fan at very worth it sa price,neutral
hindi same texture ng nasa pic pero okay nman kasi white parin,neutral
hindi same texture ng nasa pic pero okay nman kasi white parin,positive
honest review lang po tan yung inorder ko po ineexpect ko color orange sya kaso kulay pink pala diko din magagamit hay sabi ni seller ibat iba daw ang timt nya sa lips so dintayo sure sa dadating kong babagay sya pero okey naman amoy nya mejo malamig sa labi,neutral
honest review lang po tan yung inorder ko po ineexpect ko color orange sya kaso kulay pink pala diko din magagamit hay sabi ni seller ibat iba daw ang timt nya sa lips so dintayo sure sa dadating kong babagay sya pero okey naman amoy nya mejo malamig sa labi,positive
i received broken umbrella but we just managed to put mighty bond para maayos,positive
i received broken umbrella but we just managed to put mighty bond para maayos,neutral
kulang nang blush palette wala po akong natanggap,positive
kulang nang blush palette wala po akong natanggap,neutral
lights ang cute nya nagustuhan ng anak ko hindi lang pwede pagsabayin yung ilaw at fan tas syempre madaling malow batt pero goods na din kc mura lang naman sya,neutral
lights ang cute nya nagustuhan ng anak ko hindi lang pwede pagsabayin yung ilaw at fan tas syempre madaling malow batt pero goods na din kc mura lang naman sya,positive
mabango kaso nawawala den agad yung bango nya pero okay na sya mura kasi photo are not related,neutral
mabango kaso nawawala den agad yung bango nya pero okay na sya mura kasi photo are not related,positive
mabango naman siya pero parang alcohol at the same timee,positive
mabango naman siya pero parang alcohol at the same timee,neutral
mabilis dumating complete orders and variation kaya lang ibang iba na yung tela nya sa una kong naorder may kanipisan na sya,positive
mabilis dumating complete orders and variation kaya lang ibang iba na yung tela nya sa una kong naorder may kanipisan na sya,neutral
mabilis malowbat mabilis malowbat thank you kay kuya rider,neutral
mabilis malowbat mabilis malowbat thank you kay kuya rider,positive
madali gamitin mahina ung hangin nia pero ok ndin pra sa anak ko gamit nia s school kc mainit s room nila,positive
madali gamitin mahina ung hangin nia pero ok ndin pra sa anak ko gamit nia s school kc mainit s room nila,neutral
madaling malowbat 128gb yong order ko pero 512 gb ang dumating thanks battery lng yong problem ko,neutral
madaling malowbat 128gb yong order ko pero 512 gb ang dumating thanks battery lng yong problem ko,positive
maganda ang ganda po nya kaso parang d naman po waterproof na tatanggal pag bina basa na pero okay lang basta may ma gamit ako,neutral
maganda ang ganda po nya kaso parang d naman po waterproof na tatanggal pag bina basa na pero okay lang basta may ma gamit ako,positive
maganda ang tela,positive
maganda ang tela,neutral
maganda naman kaso maliit yung 45 nyo pero pwede na ok na yan,positive
maganda naman kaso maliit yung 45 nyo pero pwede na ok na yan,neutral
maganda naman sya sobrang ganda ng quality kaso my dalawang sira pero okay naman guys solid,positive
maganda naman sya sobrang ganda ng quality kaso my dalawang sira pero okay naman guys solid,neutral
maganda po sya sulit sa price kaso sira lang po ung blue light nya pero ok sya nakakaganda ng room,neutral
maganda po sya sulit sa price kaso sira lang po ung blue light nya pero ok sya nakakaganda ng room,positive
maganda sana kaso durog yung high lighter kainis,positive
maganda sana kaso durog yung high lighter kainis,neutral
maganda sana kaso maliit ang mga size nio 40 to41 order ko maliit pa din,neutral
maganda sana kaso maliit ang mga size nio 40 to41 order ko maliit pa din,positive
maganda sana sya kaso may gasgas yung salamin at maluwag yun turnelyo nya tapos naipit pa yung lalagyan sana sa uulitin pag order ko ayusin naman yung items bago nyo po ipa deliver kasi sakto po bayad ko para sa items pag dating dito may sira thakkk youuu seller and,positive
maganda sana sya kaso may gasgas yung salamin at maluwag yun turnelyo nya tapos naipit pa yung lalagyan sana sa uulitin pag order ko ayusin naman yung items bago nyo po ipa deliver kasi sakto po bayad ko para sa items pag dating dito may sira thakkk youuu seller and,neutral
maganda sya medyo di lang madikit yung adhesive tape hehe,neutral
maganda sya medyo di lang madikit yung adhesive tape hehe,positive
maganda sya tama yong size nya nagustohan ko kaso yong parang sticker nya na may tatak na fashion madaling matangal kay kay langang lagyan ng shoes glue,neutral
maganda sya tama yong size nya nagustohan ko kaso yong parang sticker nya na may tatak na fashion madaling matangal kay kay langang lagyan ng shoes glue,positive
maganda yun shades na purple ang problem ko yun shades pouch i order 3pcs para sana sa mga shades nang anak ko pero 3 same color binadala ni seller lahat green pano ko ma identify yun laman kung isa lang color nang pouch nya,neutral
maganda yun shades na purple ang problem ko yun shades pouch i order 3pcs para sana sa mga shades nang anak ko pero 3 same color binadala ni seller lahat green pano ko ma identify yun laman kung isa lang color nang pouch nya,positive
maganda yung tela nya makapal sia disappointed lang aq ksi may punit yung bulsa ng dlawang pants sana chenick muna baka deliver pra no defect at maging satisfied yung buyer,neutral
maganda yung tela nya makapal sia disappointed lang aq ksi may punit yung bulsa ng dlawang pants sana chenick muna baka deliver pra no defect at maging satisfied yung buyer,positive
maganda yung tela nya thank you nadin seler kahit mali yung isang kulay black and grey sana dumating black ang blue,neutral
maganda yung tela nya thank you nadin seler kahit mali yung isang kulay black and grey sana dumating black ang blue,positive
magandan naman yung size ng medium at xl na isa yung isang bundle madumi tapos sira sira ndi ko na maganda na snaa yung quality kaso yung isnag xl tape sobrang nipis at madumi pa sira sira pa buti nabenta ko pa yun hays balik puhunan any way thanks seller,neutral
magandan naman yung size ng medium at xl na isa yung isang bundle madumi tapos sira sira ndi ko na maganda na snaa yung quality kaso yung isnag xl tape sobrang nipis at madumi pa sira sira pa buti nabenta ko pa yun hays balik puhunan any way thanks seller,positive
manipis ok naman sana un lang mali ung binigay na dalawang order ko refund ko nlng sna kso tinatamad ako kya bbgay ko nlng to sa kapatid ko sna susunod seller pacheck ung product na order sa inyo,positive
manipis ok naman sana un lang mali ung binigay na dalawang order ko refund ko nlng sna kso tinatamad ako kya bbgay ko nlng to sa kapatid ko sna susunod seller pacheck ung product na order sa inyo,neutral
may sira sya nung dumating but it still works thankyou parin sana next time wala na syang basag yun lng po spread love haa,positive
may sira sya nung dumating but it still works thankyou parin sana next time wala na syang basag yun lng po spread love haa,neutral
medj kailangan matigas pag press mo para madiin talaga tas na sira pero pwede pa gamitin hindi rin nacucurl masyado yung pilik mata ko,positive
medj kailangan matigas pag press mo para madiin talaga tas na sira pero pwede pa gamitin hindi rin nacucurl masyado yung pilik mata ko,neutral
medyo 3 stars dko expected kasi muka lang siyang tsinelas anyways goods na din,neutral
medyo 3 stars dko expected kasi muka lang siyang tsinelas anyways goods na din,positive
mej malakas lang yung tunog niya yung box yupi yupi but that didnt damage the package naman,neutral
mej malakas lang yung tunog niya yung box yupi yupi but that didnt damage the package naman,positive
nice kaso mahirap lumakad awit na yan natutupi pero yeah sure nicee thanksss,neutral
nice kaso mahirap lumakad awit na yan natutupi pero yeah sure nicee thanksss,positive
not so good napakaliit naman nang size neto parang baby bra sa kaliit napaka sikip need cu pa bilhan ng extender huhuhu pero salamat at kompleto naman cya mukhang matibay thdd hhdd jfyuj jfsy jhf,positive
not so good napakaliit naman nang size neto parang baby bra sa kaliit napaka sikip need cu pa bilhan ng extender huhuhu pero salamat at kompleto naman cya mukhang matibay thdd hhdd jfyuj jfsy jhf,neutral
ohhh my god ang ganda ng kulay bwhahha sobraa pee kasoo ang nakakabadtrip lang disya madikit,neutral
ohhh my god ang ganda ng kulay bwhahha sobraa pee kasoo ang nakakabadtrip lang disya madikit,positive
ok na sana eh kasota bat ganun nakaindicate na nga king an ungrateful kulay ordering pero parent paring kulay ano bat na lang seller to hindi marunong magbasa,neutral
ok na sana eh kasota bat ganun nakaindicate na nga king an ungrateful kulay ordering pero parent paring kulay ano bat na lang seller to hindi marunong magbasa,positive
ok naman po ung item,positive
ok naman po ung item,neutral
ok naman pwede pagtyagaan para sa swak na budget ang tagal lang dumating july 7 ko order now lang dumating july 15 dumating,positive
ok naman pwede pagtyagaan para sa swak na budget ang tagal lang dumating july 7 ko order now lang dumating july 15 dumating,neutral
ok naman sya kaso not the same dun sa picture na nasa post ninyo di masyado makapal,neutral
ok naman sya kaso not the same dun sa picture na nasa post ninyo di masyado makapal,positive
ok naman yung appearance ng product though ng eexpect ako na ng pwde sya bend or ipa ikot pero hindi pala i tried it na i charge siguro 5 mins lang ng stop na sya kasi nawala yung red na light pag chacharge mo so feeling ko full na sya,positive
ok naman yung appearance ng product though ng eexpect ako na ng pwde sya bend or ipa ikot pero hindi pala i tried it na i charge siguro 5 mins lang ng stop na sya kasi nawala yung red na light pag chacharge mo so feeling ko full na sya,neutral
ok nka bubble wrapped nman item q wrong color lng ok umiikot nman,neutral
ok nka bubble wrapped nman item q wrong color lng ok umiikot nman,positive
ok nmn ang quality disappointed lg dahil d pare pareho ang pag cut hirap mag pantay pantay,positive
ok nmn ang quality disappointed lg dahil d pare pareho ang pag cut hirap mag pantay pantay,neutral
okay di sya pwede pag maulan hence the name pang araw lang sya lol at di rin pwede mahangin kasi bumabaliktad sya,neutral
okay di sya pwede pag maulan hence the name pang araw lang sya lol at di rin pwede mahangin kasi bumabaliktad sya,positive
okay na sana kaso di sha swak sa gas range ko it would have serve its purpose sayang,neutral
okay na sana kaso di sha swak sa gas range ko it would have serve its purpose sayang,positive
okay naman ang item good product thumbs upokay naman kaso di lang stretchable pero good namanthanks kuyang driver at seller,positive
okay naman ang item good product thumbs upokay naman kaso di lang stretchable pero good namanthanks kuyang driver at seller,neutral
okay naman daw sabi ng abcde ifg q kaya ayun satisfied customer naman daw sabi ni daddy at ni nanay haha joke lang thank you po so mats,neutral
okay naman daw sabi ng abcde ifg q kaya ayun satisfied customer naman daw sabi ni daddy at ni nanay haha joke lang thank you po so mats,positive
okay naman kaso maliit ang sizes or klase kahit nag adjust na ako,neutral
okay naman kaso maliit ang sizes or klase kahit nag adjust na ako,positive
okay naman po kaso baka mabilis po masira un lang po but still thankyou,positive
okay naman po kaso baka mabilis po masira un lang po but still thankyou,neutral
okay naman sana pero yupi yung item,positive
okay naman sana pero yupi yung item,neutral
okay naman siya for me kasi parang di siya mainit suotin ang kaso lang naglulukot yung parang strap niya and tagal niya din bago nadeliver,neutral
okay naman siya for me kasi parang di siya mainit suotin ang kaso lang naglulukot yung parang strap niya and tagal niya din bago nadeliver,positive
okay okay lang ang item at ang delivery,neutral
okay okay lang ang item at ang delivery,positive
okay sana di lang gumagana yung remote parang xmass light,neutral
okay sana di lang gumagana yung remote parang xmass light,positive
pagbukas ko ganyan na sya parang minadali tas yung item nakabuka yung gilid pero still working pa naman sorry di sya well packed,neutral
pagbukas ko ganyan na sya parang minadali tas yung item nakabuka yung gilid pero still working pa naman sorry di sya well packed,positive
pink order ko blue dumating tapos sira pa nailaw lang pero hindi nagana hindi nausok wla nalabas na usok at wla amoy tinry ko sa downy at water wla tlga nailaw lang sira hindi nagana inopen ko na wla pa din usok,positive
pink order ko blue dumating tapos sira pa nailaw lang pero hindi nagana hindi nausok wla nalabas na usok at wla amoy tinry ko sa downy at water wla tlga nailaw lang sira hindi nagana inopen ko na wla pa din usok,neutral
pmedyo matagal lang po na ship ang item pero ok naman,neutral
pmedyo matagal lang po na ship ang item pero ok naman,positive
pwede na maganda naman kaso nag nag aagawan sa bluetooth kaparehas nya bluetooth name ng pang iphone hahahahag,positive
pwede na maganda naman kaso nag nag aagawan sa bluetooth kaparehas nya bluetooth name ng pang iphone hahahahag,neutral
receive the item pero bkit maingay para kang nakasakay sa eroplano kpag iopen yun fan,neutral
receive the item pero bkit maingay para kang nakasakay sa eroplano kpag iopen yun fan,positive
safe and good condition naman maling color yung sinend samin white ang order namin pero pink yun dumating gusto sana papalitan kaso need na nya ng tumbler tomorrow,positive
safe and good condition naman maling color yung sinend samin white ang order namin pero pink yun dumating gusto sana papalitan kaso need na nya ng tumbler tomorrow,neutral
saks lang rin ayan check mo kulay sa photo,positive
saks lang rin ayan check mo kulay sa photo,neutral
sakto lang for its price,positive
sakto lang for its price,neutral
sakto lang sakin tas di siya sobrang kapal at komportable lang suotin,neutral
sakto lang sakin tas di siya sobrang kapal at komportable lang suotin,positive
sakto lang ung lakas,neutral
sakto lang ung lakas,positive
sakto lng para sa price,neutral
sakto lng para sa price,positive
sirapocyung remote control nya bumili nako ng new battery wala padin para tuloy chrismass lite ang kwarto ko,neutral
sirapocyung remote control nya bumili nako ng new battery wala padin para tuloy chrismass lite ang kwarto ko,positive
still building my shit hahahahah salamat shopee,positive
still building my shit hahahahah salamat shopee,neutral
thank u seller bilis dumating ok naman quality for the price medyo maliit nga lang size kaya add 1 dapat,positive
thank u seller bilis dumating ok naman quality for the price medyo maliit nga lang size kaya add 1 dapat,neutral
ung pink na inorder ko na airpod iisa ang pod na gumagamana pero na refund naman po agad so goods na,neutral
ung pink na inorder ko na airpod iisa ang pod na gumagamana pero na refund naman po agad so goods na,positive
watery pag ilalagay mo siya sa pilikmata medyo hindi maganda tignan pero based on its price wag nalang kayo magexpect,positive
watery pag ilalagay mo siya sa pilikmata medyo hindi maganda tignan pero based on its price wag nalang kayo magexpect,neutral
white inorder ko black dumating pero ok na rin maayos naman pero shopee ako bat lazada,neutral
white inorder ko black dumating pero ok na rin maayos naman pero shopee ako bat lazada,positive
why ganun seller blurred yung isa prng sira pa,positive
why ganun seller blurred yung isa prng sira pa,neutral
wlang extra rubber buds tapos nwawla sounds kabila tenga,neutral
wlang extra rubber buds tapos nwawla sounds kabila tenga,positive
worth it nmn medjo mahina lng sya pero oks na din maganda aya nag cute nia sana always ganitoo hahaha hanggang kelan kaya yung tibay nia,positive
worth it nmn medjo mahina lng sya pero oks na din maganda aya nag cute nia sana always ganitoo hahaha hanggang kelan kaya yung tibay nia,neutral
wrong variation but its okay andito na,positive
wrong variation but its okay andito na,neutral
